age,filt_d18O
-61.0,0.06732271076659302
-51.0,-0.04457021812552053
-41.0,-0.15646231159176693
-31.0,-0.31258455521138107
-21.0,-0.6456294730923253
-11.0,-0.9786742047863597
-1.0,-1.3117189668194476
9.0,-1.6540996400963257
19.0,-2.018263993668703
29.0,-2.3824290273845596
39.0,-2.7465949578941347
49.0,-3.1107620018586557
59.0,-3.742884921396864
69.0,-4.010009387713297
79.0,-3.3559992538176724
89.0,-2.8041589321391927
99.0,-3.1718312966165216
109.0,-3.539506074298158
119.0,-3.907183481698154
129.0,-4.274863735277708
139.0,-4.642547051437169
149.0,-4.449646601973653
159.0,-4.194462198283643
169.0,-3.93928150593001
179.0,-3.6964003736891726
189.0,-3.5641840791284816
199.0,-3.431972143827978
209.0,-3.2997647835404598
219.0,-3.1675622138947004
229.0,-3.255246447077994
239.0,-3.672758596792863
249.0,-4.090276183213843
259.0,-4.507799421395754
269.0,-4.516884081786033
279.0,-4.423863712439278
289.0,-4.3308496390094735
299.0,-4.237842075853458
309.0,-4.144841237134314
319.0,-4.0518473368137915
329.0,-3.7341509112252655
339.0,-2.8921392706790217
349.0,-2.0501352091321126
359.0,-1.436802534134693
369.0,-1.7381322419377137
379.0,-2.0394701672549393
389.0,-2.3408165224260333
399.0,-2.5388381861954876
409.0,-2.6925829894195674
419.0,-2.846336857915976
429.0,-3.0001000029326654
439.0,-3.153872635426262
449.0,-3.3076549660546473
459.0,-2.692280538503001
469.0,-2.076916229476491
479.0,-1.4615622486930684
489.0,-0.8462188055428371
499.0,-1.3370898127845812
509.0,-1.827971775427488
519.0,-2.1577537907240183
529.0,-2.111621251866443
539.0,-2.0655002924242636
549.0,-2.0193911196704404
559.0,-1.9163046931884855
569.0,-1.3003272409945483
579.0,-0.6843621950143364
589.0,-0.06840976096866247
599.0,-0.6262841859187126
609.0,-1.1841716330219945
619.0,-1.7420723067626458
629.0,-2.0058943395876954
639.0,-2.0736686256598755
649.0,-2.1414567492396275
