age,filt_ch4
1000.0,640.3458019509187
1010.0,640.1427283966732
1020.0,639.9395043297361
1030.0,639.7361337733039
1040.0,639.5326207632713
1050.0,639.3289693481188
1060.0,639.1251835887974
1070.0,638.9212675586148
1080.0,638.7172253431193
1090.0,638.5130610399847
1100.0,638.3087787588929
1110.0,638.1043826214169
1120.0,637.8998767609027
1130.0,637.6952653223503
1140.0,637.4905524622947
1150.0,637.2857423486843
1160.0,637.0808391607615
1170.0,636.8758470889401
1180.0,636.6707703346837
1190.0,636.4656131103826
1200.0,636.2603796392305
1210.0,636.0550741550996
1220.0,635.8497009024168
1230.0,635.6442641360368
1240.0,635.4387681211167
1250.0,635.2332171329891
1260.0,635.0276154570353
1270.0,634.8219673885563
1280.0,634.6162772326454
1290.0,634.4105493040581
1300.0,634.2047879270822
1310.0,633.9989974354074
1320.0,633.7931821719945
1330.0,633.5873464889435
1340.0,633.3814947473602
1350.0,633.1756313172247
1360.0,632.9697605772575
1370.0,632.7638869147859
1380.0,632.5580147256087
1390.0,632.3521484138618
1400.0,632.1462923918812
1410.0,631.9404510800672
1420.0,631.7346289067478
1430.0,631.528830308041
1440.0,631.3230597277167
1450.0,631.117321617058
1460.0,630.9116204347227
1470.0,630.7059606466034
1480.0,630.5003467256873
1490.0,630.2947831519159
1500.0,630.0892744120434
1510.0,629.8838249994958
1520.0,629.6784394142283
1530.0,629.4731221625831
1540.0,629.2678777571466
1550.0,629.0627107166054
1560.0,628.857625565602
1570.0,628.6526268345909
1580.0,628.4477190596933
1590.0,628.2429067825512
1600.0,628.038194550182
1610.0,627.8335869148316
1620.0,627.629088433828
1630.0,627.4247036694342
1640.0,627.2204371887003
1650.0,627.0162935633155
1660.0,626.8122773694599
1670.0,626.608393187656
1680.0,626.4046456026184
1690.0,626.2010392031046
1700.0,625.9975785817653
1710.0,625.7942683349934
1720.0,625.5911130627729
1730.0,625.3881173685281
1740.0,625.1852858589713
1750.0,624.9826231439504
1760.0,624.7801338362978
1770.0,624.5778225516772
1780.0,624.3756939084311
1790.0,624.173752527427
1800.0,623.9720030319033
1810.0,623.7704500473156
1820.0,623.5690982011819
1830.0,623.3679521229282
1840.0,623.167016443734
1850.0,622.9662957963766
1860.0,622.7657948150749
1870.0,622.5655181353346
1880.0,622.3654703937917
1890.0,622.1656562280552
1900.0,621.9660802765515
1910.0,621.7667471783669
1920.0,621.5676615730913
1930.0,621.3688281006599
1940.0,621.1702514011959
1950.0,620.9719361148524
1960.0,620.7738868816547
1970.0,620.5761083413413
1980.0,620.3786051332056
1990.0,620.1813818959374
2000.0,619.9844432674641
2010.0,619.787793884791
2020.0,619.5914383838417
2030.0,619.3953813992991
2040.0,619.1996275644454
2050.0,619.0041815110027
2060.0,618.8090478689724
2070.0,618.614231266475
2080.0,618.41973632959
2090.0,618.2255676821952
2100.0,618.0317299458064
2110.0,617.8382277394164
2120.0,617.6450656793338
2130.0,617.4522483790224
2140.0,617.2597804489401
2150.0,617.0676664963776
2160.0,616.8759111252972
2170.0,616.6845189361717
2180.0,616.4934945258226
2190.0,616.3028424872592
2200.0,616.1125674095167
2210.0,615.9226738774953
2220.0,615.7331664717984
2230.0,615.5440497685707
2240.0,615.3553283393366
2250.0,615.1670067508377
2260.0,614.979089564872
2270.0,614.7915813381314
2280.0,614.6044866220408
2290.0,614.4178099625952
2300.0,614.2315559001983
2310.0,614.0457289695005
2320.0,613.8603336992371
2330.0,613.6753746120668
2340.0,613.4908562244094
2350.0,613.3067830462851
2360.0,613.1231595811525
2370.0,612.9399903257475
2380.0,612.7572797699218
2390.0,612.5750323964807
2400.0,612.3932526810222
2410.0,612.211945091776
2420.0,612.0311140894419
2430.0,611.8507641270292
2440.0,611.670899649695
2450.0,611.4915250945836
2460.0,611.3126448906654
2470.0,611.1342634585762
2480.0,610.9563852104568
2490.0,610.779014549793
2500.0,610.6021558712551
2510.0,610.4258135605379
2520.0,610.2499919942006
2530.0,610.0746955395075
2540.0,609.8999285542674
2550.0,609.7256953866745
2560.0,609.552000375149
2570.0,609.3788478481783
2580.0,609.2062421241585
2590.0,609.0341875112344
2600.0,608.8626883071421
2610.0,608.6917487990504
2620.0,608.521373263403
2630.0,608.3515659657603
2640.0,608.1823311606415
2650.0,608.0136730913675
2660.0,607.845595989904
2670.0,607.6781040767042
2680.0,607.5112015605523
2690.0,607.3448926384073
2700.0,607.1791814952463
2710.0,607.0140723039091
2720.0,606.8495692249422
2730.0,606.6856764064444
2740.0,606.5223979839108
2750.0,606.3597380800793
2760.0,606.1977008047755
2770.0,606.0362902547587
2780.0,605.8755105135679
2790.0,605.7153656513685
2800.0,605.5558597247997
2810.0,605.396996776821
2820.0,605.2387808365609
2830.0,605.0812159191635
2840.0,604.9243060256372
2850.0,604.7680551427035
2860.0,604.6124672426456
2870.0,604.4575462831577
2880.0,604.3032962071951
2890.0,604.1497209428236
2900.0,603.9968244030704
2910.0,603.844610485775
2920.0,603.6930830734411
2930.0,603.5422460330882
2940.0,603.3921032161035
2950.0,603.2426584580946
2960.0,603.093915578743
2970.0,602.9458783816565
2980.0,602.7985506542237
2990.0,602.6519361674681
3000.0,602.5060386759025
3010.0,602.3608619173845
3020.0,602.2164096129721
3030.0,602.0726854667795
3040.0,601.9296931658333
3050.0,601.78743637993
3060.0,601.6459187614932
3070.0,601.505143945432
3080.0,601.3651155489987
3090.0,601.2258371716479
3100.0,601.0873123948958
3110.0,600.9495447821805
3120.0,600.8125378787221
3130.0,600.676295211384
3140.0,600.5408202885338
3150.0,600.406116599906
