age,filt_d18O
-61.0,-52.12732306393694
-51.0,-52.140430107214044
-41.0,-52.15353798587516
-31.0,-52.166646483570005
-21.0,-52.17975538388116
-11.0,-52.192864470332054
-1.0,-52.205973526395056
9.0,-52.219082335499465
19.0,-52.23219068103954
29.0,-52.24529834638257
39.0,-52.25840511487691
49.0,-52.271510769859944
59.0,-52.284615094666165
69.0,-52.29771787263515
79.0,-52.31081888711957
89.0,-52.32391792149316
99.0,-52.33701475915872
109.0,-52.35010918355603
119.0,-52.36320097816987
129.0,-52.37628992653801
139.0,-52.389375812259054
149.0,-52.402458419000446
159.0,-52.41553753050635
169.0,-52.42861293060559
179.0,-52.44168440321957
189.0,-52.45475173237017
199.0,-52.46781470218755
209.0,-52.48087309691804
219.0,-52.49392670093193
229.0,-52.50697529873135
239.0,-52.52001867495808
249.0,-52.53305661440131
259.0,-52.54608890200543
269.0,-52.55911532287777
279.0,-52.572135662296326
289.0,-52.585149705717484
299.0,-52.598157238783664
309.0,-52.611158047330974
319.0,-52.62415191739692
329.0,-52.637138635228055
339.0,-52.65011798728758
349.0,-52.66308976026298
359.0,-52.676053741073545
369.0,-52.689009716877926
379.0,-52.701957475081606
389.0,-52.71489680334439
399.0,-52.727827489587895
409.0,-52.740749322003026
419.0,-52.753662089057286
429.0,-52.76656557950218
439.0,-52.77945958238062
449.0,-52.792343887034285
459.0,-52.805218283110904
469.0,-52.81808256057156
479.0,-52.83093650969797
489.0,-52.84377992109963
499.0,-52.85661258572112
509.0,-52.86943429484922
519.0,-52.88224484012006
529.0,-52.89504401352622
539.0,-52.907831607423816
549.0,-52.920607414539575
559.0,-52.9333712279778
569.0,-52.94612284122736
579.0,-52.95886204816865
589.0,-52.97158864308052
599.0,-52.98430242064722
609.0,-52.997003175965155
619.0,-53.00969070454981
629.0,-53.02236480234254
639.0,-53.03502526571732
649.0,-53.04767189148754
659.0,-53.060304476912634
669.0,-53.07292281970482
679.0,-53.08552671803571
689.0,-53.09811597054283
699.0,-53.11069037633622
709.0,-53.12324973500496
719.0,-53.135793846623656
729.0,-53.148322511758934
739.0,-53.160835531475826
749.0,-53.173332707344166
759.0,-53.18581384144488
769.0,-53.19827873637633
779.0,-53.21072719526057
789.0,-53.22315902174959
799.0,-53.235574020031514
809.0,-53.24797199483675
819.0,-53.26035275144412
829.0,-53.27271609568694
839.0,-53.28506183395907
849.0,-53.29738977322087
859.0,-53.30969972100521
869.0,-53.32199148542343
879.0,-53.334264875171215
889.0,-53.34651969953442
899.0,-53.35875576839489
909.0,-53.37097289223624
919.0,-53.38317088214958
929.0,-53.395349549839246
939.0,-53.40750870762841
949.0,-53.419648168464704
959.0,-53.431767745925775
969.0,-53.44386725422484
979.0,-53.455946508216186
989.0,-53.46800532340061
999.0,-53.4800435159308
1009.0,-53.49206090261677
1019.0,-53.504057300931166
1029.0,-53.5160325290145
1039.0,-53.52798640568045
1049.0,-53.539918750421
1059.0,-53.55182938341169
1069.0,-53.56371812551669
1079.0,-53.575584798293825
1089.0,-53.587429223999706
1099.0,-53.59925122559468
1109.0,-53.611050626747826
1119.0,-53.62282725184187
1129.0,-53.63458092597801
1139.0,-53.646311474980756
1149.0,-53.658018725402705
1159.0,-53.66970250452928
1169.0,-53.681362640383476
1179.0,-53.69299896173048
1189.0,-53.70461129808234
1199.0,-53.71619947970253
1209.0,-53.72776333761051
1219.0,-53.7393027035862
1229.0,-53.7508174101744
1239.0,-53.762307290689236
1249.0,-53.77377217921849
1259.0,-53.785211910627936
1269.0,-53.79662632056564
1279.0,-53.80801524546619
1289.0,-53.819378522554814
1299.0,-53.830715989851626
1309.0,-53.84202748617568
1319.0,-53.85331285114905
1329.0,-53.86457192520083
1339.0,-53.87580454957112
1349.0,-53.88701056631495
1359.0,-53.898189818306165
1369.0,-53.90934214924128
1379.0,-53.920467403643286
1389.0,-53.931565426865454
1399.0,-53.94263606509503
1409.0,-53.95367916535689
1419.0,-53.96469457551712
1429.0,-53.97568214428665
1439.0,-53.9866417212248
1449.0,-53.99757315674282
1459.0,-54.00847630210732
1469.0,-54.01935100944375
1479.0,-54.0301971317397
1489.0,-54.04101452284822
1499.0,-54.05180303749118
1509.0,-54.06256253126243
1519.0,-54.07329286063102
1529.0,-54.083993882944355
1539.0,-54.09466545643126
1549.0,-54.10530744020505
1559.0,-54.1159196942666
1569.0,-54.1265020795073
1579.0,-54.13705445771197
1589.0,-54.1475766915618
1599.0,-54.15806864463717
1609.0,-54.16853018142044
1619.0,-54.17896116729877
1629.0,-54.18936146856685
1639.0,-54.19973095242948
1649.0,-54.21006948700429
1659.0,-54.22037694132429
1669.0,-54.23065318534046
1679.0,-54.24089808992422
1689.0,-54.25111152686996
1699.0,-54.2612933688974
1709.0,-54.271443489653954
1719.0,-54.2815617637171
1729.0,-54.29164806659667
1739.0,-54.30170227473708
1749.0,-54.31172426551948
1759.0,-54.321713917264006
1769.0,-54.3316711092319
1779.0,-54.3415957216275
1789.0,-54.35148763560036
1799.0,-54.361346733247196
1809.0,-54.371172897613896
1819.0,-54.380966012697385
1829.0,-54.390725963447515
1839.0,-54.40045263576886
1849.0,-54.4101459165225
1859.0,-54.419805693527806
1869.0,-54.42943185556406
1879.0,-54.43902429237217
1889.0,-54.448582894656255
1899.0,-54.45810755408526
1909.0,-54.46759816329438
1919.0,-54.47705461588663
1929.0,-54.48647680643427
1939.0,-54.49586463048021
1949.0,-54.505217984539385
1959.0,-54.514536766100065
1969.0,-54.523820873625134
1979.0,-54.533070206553326
1989.0,-54.54228466530042
1999.0,-54.551464151260404
2009.0,-54.56060856680658
2019.0,-54.56971781529263
2029.0,-54.578791801053654
2039.0,-54.58783042940718
2049.0,-54.59683360665409
2059.0,-54.6058012400796
2069.0,-54.614733237954084
2079.0,-54.623629509533906
2089.0,-54.63248996506222
2099.0,-54.641314515769714
2109.0,-54.65010307387533
2119.0,-54.65885555258692
2129.0,-54.66757186610192
2139.0,-54.67625192960789
2149.0,-54.68489565928308
2159.0,-54.693502972296955
2169.0,-54.70207378681068
2179.0,-54.71060802197754
2189.0,-54.7191055979434
2199.0,-54.72756643584698
2209.0,-54.73599045782025
2219.0,-54.744377586988655
2229.0,-54.75272774747135
2239.0,-54.761040864381414
2249.0,-54.76931686382607
2259.0,-54.777555672906765
2269.0,-54.78575721971927
2279.0,-54.79392143335375
2289.0,-54.80204824389474
2299.0,-54.81013758242112
2309.0,-54.818189381006064
2319.0,-54.826203572716956
2329.0,-54.834180091615224
2339.0,-54.84211887275622
2349.0,-54.85001985218901
2359.0,-54.85788296695617
2369.0,-54.86570815509347
2379.0,-54.873495355629565
2389.0,-54.881244508585624
2399.0,-54.88895555497499
2409.0,-54.89662843680276
2419.0,-54.90426309706529
2429.0,-54.91185947974972
2439.0,-54.91941752983346
2449.0,-54.92693719328363
2459.0,-54.93441841705648
2469.0,-54.94186114909673
2479.0,-54.94926533833696
2489.0,-54.956630934696896
2499.0,-54.96395788908268
2509.0,-54.97124615338614
2519.0,-54.978495680484016
2529.0,-54.98570642423708
2539.0,-54.99287833948934
2549.0,-55.00001138206707
2559.0,-55.00710550877797
2569.0,-55.01416067741013
2579.0,-55.021176846731066
2589.0,-55.02815397648672
2599.0,-55.0350920274004
2609.0,-55.04199096117173
2619.0,-55.04885074047551
2629.0,-55.055671328960585
2639.0,-55.06245269124872
2649.0,-55.06919479293337
2659.0,-55.07589760057839
2669.0,-55.08256108171685
2679.0,-55.08918520484973
2689.0,-55.095769939444565
2699.0,-55.10231525593416
2709.0,-55.10882112571513
2719.0,-55.11528752114654
2729.0,-55.12171441554843
2739.0,-55.12810178320039
2749.0,-55.134449599340066
2759.0,-55.14075784016163
2769.0,-55.147026482814276
2779.0,-55.15325550540058
2789.0,-55.15944488697493
2799.0,-55.165594607541934
2809.0,-55.17170464805467
2819.0,-55.177774990413084
2829.0,-55.18380561746226
2839.0,-55.18979651299069
2849.0,-55.19574766172846
2859.0,-55.20165904934546
2869.0,-55.20753066244958
2879.0,-55.21336248858498
2889.0,-55.21915451623014
2899.0,-55.22490673479603
2909.0,-55.23061913462415
2919.0,-55.23629170698462
2929.0,-55.24192444407425
2939.0,-55.24751733901452
2949.0,-55.25307038584963
2959.0,-55.25858357954446
2969.0,-55.26405691598251
2979.0,-55.269490391963835
2989.0,-55.274884005202914
2999.0,-55.280237754326485
3009.0,-55.28555163887146
3019.0,-55.29082565928274
3029.0,-55.29605981691103
3039.0,-55.301254114010646
3049.0,-55.3064085537373
3059.0,-55.31152314014585
3069.0,-55.31659787818803
3079.0,-55.321632773710085
3089.0,-55.326627833450466
3099.0,-55.331583065037506
3109.0,-55.33649847698709
3119.0,-55.34137407870023
3129.0,-55.34620988046073
3139.0,-55.3510058934328
