age,filt_d18O
-61.0,-0.2688534528455035
-51.0,-0.5611427724430806
-41.0,-0.8506083240675574
-31.0,-1.1358370661263713
-21.0,-1.415439211488016
-11.0,-1.6880390744719085
-1.0,-1.952274502385217
9.0,-2.2068059303212575
19.0,-2.450334761947644
29.0,-2.681629551826127
39.0,-2.8995574588383457
49.0,-3.1031177334333937
59.0,-3.2914736625220384
69.0,-3.4639795025686357
79.0,-3.6201995728297405
89.0,-3.759917865811233
99.0,-3.8831379938669057
109.0,-3.990074456259838
119.0,-4.081136580652559
129.0,-4.1569061001250365
139.0,-4.218108709726868
149.0,-4.265579696714156
159.0,-4.30022415156086
169.0,-4.322973281888446
179.0,-4.334739626058886
189.0,-4.336375029386609
199.0,-4.328635728479116
209.0,-4.312158639028123
219.0,-4.2874520043521
229.0,-4.254902064518992
239.0,-4.214795492233081
249.0,-4.1673551974718155
259.0,-4.112785036441108
269.0,-4.051317407733446
279.0,-3.9832570915469376
289.0,-3.909015159055442
299.0,-3.8291281931990104
309.0,-3.7442600587664883
319.0,-3.65518569172366
329.0,-3.5627586381678165
339.0,-3.467866257108074
349.0,-3.371378464298592
359.0,-3.2740973125933306
369.0,-3.176715079591571
379.0,-3.079787454726009
389.0,-2.983725933548628
399.0,-2.8888102551053105
409.0,-2.7952185268672594
419.0,-2.7030702299818885
429.0,-2.612475846326381
439.0,-2.5235863843519866
449.0,-2.436636510947566
459.0,-2.3519762411689777
469.0,-2.270088083341958
479.0,-2.1915889021873656
489.0,-2.117218014484231
499.0,-2.04781452569754
509.0,-1.9842872294492562
519.0,-1.9275796195498782
529.0,-1.878631333156027
539.0,-1.8383364573857448
549.0,-1.8074990763594172
559.0,-1.7867871751238225
569.0,-1.7766872007125374
579.0,-1.7774628194208286
589.0,-1.78912232018315
599.0,-1.811399252922305
609.0,-1.8437498745911816
619.0,-1.8853688125097552
629.0,-1.9352216247748733
639.0,-1.9920905173429875
649.0,-2.0546280080803623
659.0,-2.1214129247056848
669.0,-2.191003507656127
679.0,-2.2619832019015615
689.0,-2.3329957481776074
699.0,-2.402767426896793
709.0,-2.4701159421766468
719.0,-2.533947594151092
729.0,-2.593246819643139
739.0,-2.6470640841464217
749.0,-2.694508541285084
759.0,-2.734750474760636
769.0,-2.7670358001387587
779.0,-2.790711769221768
789.0,-2.8052602676765255
799.0,-2.810333121849358
809.0,-2.8057827754962283
819.0,-2.791681631527339
829.0,-2.7683243563862177
839.0,-2.7362095933021156
849.0,-2.69600079292606
859.0,-2.6484698795590904
869.0,-2.5944313555304865
879.0,-2.5346769999182737
889.0,-2.469921565235986
899.0,-2.400767648001545
909.0,-2.3276939778704584
919.0,-2.2510670087077327
929.0,-2.1711720223275277
939.0,-2.0882575803480194
949.0,-2.0025862217804318
959.0,-1.914484603825019
969.0,-1.824387363148261
979.0,-1.7328702941272052
989.0,-1.6406696409049284
999.0,-1.5486853393318714
1009.0,-1.4579670900635573
1019.0,-1.3696833539982152
1029.0,-1.2850747420812016
1039.0,-1.2053946826991766
1049.0,-1.1318415069710819
1059.0,-1.0654870573723412
1069.0,-1.0072075244474494
1079.0,-0.957622409249513
1089.0,-0.9170472605962888
1099.0,-0.8854651127678955
1109.0,-0.8625203335884275
1119.0,-0.8475369089599137
1129.0,-0.8395611217465121
1139.0,-0.837426269250018
1149.0,-0.839834695442081
1159.0,-0.8454502722680911
1169.0,-0.852992941887672
1179.0,-0.8613264451359768
1189.0,-0.8695311739328782
1199.0,-0.8769561541146226
1209.0,-0.8832470789788296
1219.0,-0.8883503779872454
1229.0,-0.8924958013255111
1239.0,-0.896161486675368
1249.0,-0.9000259257499721
1259.0,-0.9049109889941308
1269.0,-0.9117196479075558
1279.0,-0.9213715911035512
1289.0,-0.9347396680521001
1299.0,-0.9525899366657201
1309.0,-0.9755278964540933
1319.0,-1.0039531461839586
1329.0,-1.0380241704861881
1339.0,-1.0776342656705047
1349.0,-1.1223988617779501
1359.0,-1.1716538210565681
1369.0,-1.2244638092434543
1379.0,-1.2796396138171924
1389.0,-1.335763350185889
1399.0,-1.3912208432894781
1409.0,-1.4442410238172751
1419.0,-1.492942759438625
1429.0,-1.5353898935995942
1439.0,-1.5696551354271207
1449.0,-1.593892679476068
1459.0,-1.6064180189563166
1469.0,-1.6057915190280678
1479.0,-1.5909003545741465
1489.0,-1.5610320217893254
1499.0,-1.5159324100723066
1509.0,-1.4558426093319858
1519.0,-1.3815109330302375
1529.0,-1.2941793874325829
1539.0,-1.1955463267315376
1549.0,-1.0877088806705413
1559.0,-0.9730898108092575
1569.0,-0.8543538306861891
1579.0,-0.7343182875628709
1589.0,-0.6158626201927986
1599.0,-0.5018402955212519
1609.0,-0.39499605849392655
1619.0,-0.2978903793451443
1629.0,-0.2128320759036565
1639.0,-0.14181938338530822
1649.0,-0.08648937040399889
1659.0,-0.0480755984706327
1669.0,-0.027374232275425094
1679.0,-0.024719298109145287
1689.0,-0.039968307046062995
1699.0,-0.07249987760762444
1709.0,-0.1212252071005045
1719.0,-0.18461516531294614
1729.0,-0.2607443428632553
1739.0,-0.34735252019679225
1749.0,-0.44192271152760587
1759.0,-0.5417732537550357
1769.0,-0.6441595880857681
1779.0,-0.7463798100494756
1789.0,-0.8458771485126808
1799.0,-0.9403325246007018
1809.0,-1.0277412316722077
1819.0,-1.1064693366199376
1829.0,-1.1752873058991615
1839.0,-1.2333803393437852
1849.0,-1.2803367907133776
1859.0,-1.316117744383208
