age,pre
97400,-0.001675
97300,-0.0011242000000000001
97200,-0.0005721999999999999
97100,-1.9000000000000028e-05
97000,0.0005356
96900,0.0010896
96800,0.0016432
96700,0.002195
96600,0.0027446
96500,0.0032924
96400,0.0038368
96300,0.0043772
96200,0.0049136
96100,0.005446
96000,0.0059736
95900,0.0064952000000000005
95800,0.0070104
95700,0.007518599999999999
95600,0.0080198
95500,0.0085132
95400,0.0089976
95300,0.009473
95200,0.0099386
95100,0.0103928
95000,0.010835000000000001
94900,0.011266
94800,0.0116866
94700,0.0120962
94600,0.0124948
94500,0.0128828
94400,0.01326
94300,0.013626
94200,0.0139816
94100,0.0143274
94000,0.014663599999999999
93900,0.0149882
93800,0.0153014
93700,0.0156022
93600,0.01589
93500,0.0161648
93400,0.0164258
93300,0.0166722
93200,0.0169042
93100,0.0171204
93000,0.0173204
92900,0.017505
92800,0.017674000000000002
92700,0.0178272
92600,0.0179642
92500,0.0180858
92400,0.0181914
92300,0.0182814
92200,0.0183556
92100,0.0184132
92000,0.018455199999999998
91900,0.0184818
91800,0.0184924
91700,0.018487399999999998
91600,0.0184674
91500,0.0184324
91400,0.0183824
91300,0.0183174
91200,0.018237800000000002
91100,0.0181442
91000,0.0180362
90900,0.017914
90800,0.0177784
90700,0.017629199999999998
90600,0.017467
90500,0.0172918
90400,0.0171032
90300,0.0169018
90200,0.0166882
90100,0.0164626
90000,0.016226
89900,0.0159766
89800,0.015715
89700,0.015440200000000001
89600,0.015153400000000001
89500,0.0148538
89400,0.014541
89300,0.0142162
89200,0.013879
89100,0.0135272
89000,0.0131612
88900,0.0127848
88800,0.0123982
88700,0.0120026
88600,0.0115988
88500,0.011188
88400,0.010771000000000001
88300,0.0103486
88200,0.0099214
88100,0.0094924
88000,0.0090622
87900,0.0086286
87800,0.008191
87700,0.0077494
87600,0.0073038
87500,0.0068541999999999995
87400,0.0064002
87300,0.0059416
87200,0.0054789999999999995
87100,0.0050108
87000,0.0045366
86900,0.004059
86800,0.0035782
86700,0.0030954
86600,0.0026114000000000003
86500,0.002127
86400,0.001642
86300,0.0011578
86200,0.0006751999999999999
86100,0.0001944
86000,-0.00028339999999999995
85900,-0.0007582
85800,-0.00123
85700,-0.0016984
85600,-0.0021624
85500,-0.0026218
85400,-0.0030768
85300,-0.0035268
85200,-0.0039718
85100,-0.0044114
85000,-0.004845
84900,-0.0052726
84800,-0.0056938
84700,-0.0061084
84600,-0.0065166
84500,-0.0069178
84400,-0.0073116
84300,-0.0076982
84200,-0.008077599999999999
84100,-0.008448
84000,-0.0088098
83900,-0.009163600000000001
83800,-0.009509
83700,-0.0098458
83600,-0.0101746
83500,-0.0104946
83400,-0.0108054
83300,-0.0111078
83200,-0.011401199999999998
83100,-0.011686799999999999
83000,-0.0119648
82900,-0.0122332
82800,-0.012491799999999999
82700,-0.0127394
82600,-0.012976
82500,-0.0132012
82400,-0.013414800000000001
82300,-0.013616600000000001
82200,-0.0138054
82100,-0.0139804
82000,-0.014141599999999999
81900,-0.0142908
81800,-0.014427600000000002
81700,-0.0145526
81600,-0.014666799999999999
81500,-0.014769399999999999
81400,-0.014860999999999997
81300,-0.014942
81200,-0.0150134
81100,-0.0150754
81000,-0.0151274
80900,-0.0151698
80800,-0.015202400000000001
80700,-0.0152244
80600,-0.015236399999999999
80500,-0.0152384
80400,-0.0152304
80300,-0.0152124
80200,-0.0151844
80100,-0.0151464
80000,-0.0150988
79900,-0.0150414
79800,-0.0149738
79700,-0.0148968
79600,-0.0148094
79500,-0.0147118
79400,-0.0146048
79300,-0.0144878
79200,-0.0143608
79100,-0.0142234
79000,-0.0140754
78900,-0.0139182
78800,-0.0137522
78700,-0.013577
78600,-0.0133934
78500,-0.0132016
78400,-0.0130028
78300,-0.0127966
78200,-0.0125828
78100,-0.012362399999999999
78000,-0.012136399999999999
77900,-0.0119046
77800,-0.0116662
77700,-0.0114226
77600,-0.0111742
77500,-0.0109202
77400,-0.0106616
77300,-0.010399
77200,-0.010132
77100,-0.0098608
77000,-0.0095866
76900,-0.0093086
76800,-0.009026000000000001
76700,-0.008739
76600,-0.008447
76500,-0.00815
76400,-0.0078484
76300,-0.0075424
76200,-0.0072318
76100,-0.0069156
76000,-0.006593
75900,-0.0062664
75800,-0.0059366
75700,-0.0056048
75600,-0.005271
75500,-0.0049356
75400,-0.0045992
75300,-0.0042618
75200,-0.0039242
75100,-0.0035884
75000,-0.0032543999999999997
74900,-0.0029204
74800,-0.0025868
74700,-0.0022542
74600,-0.0019222
74500,-0.0015902
74400,-0.0012586000000000001
74300,-0.0009276
74200,-0.0005966000000000001
74100,-0.000266
74000,6.36e-05
73900,0.0003926
73800,0.0007212
73700,0.0010488
73600,0.0013754
73500,0.0017009999999999998
73400,0.0020256
73300,0.0023488000000000003
73200,0.0026704
73100,0.002991
73000,0.0033106
72900,0.0036284
72800,0.0039436
72700,0.0042564000000000005
72600,0.0045658
72500,0.004872
72400,0.005175399999999999
72300,0.0054748
72200,0.0057702
72100,0.0060612
72000,0.0063476
71900,0.0066300000000000005
71800,0.0069084
71700,0.007182
71600,0.007450399999999999
71500,0.0077148
71400,0.0079744
71300,0.0082284
71200,0.008477799999999999
71100,0.0087216
71000,0.008958599999999999
70900,0.009191
70800,0.009419
70700,0.009642
70600,0.0098608
70500,0.0100758
70400,0.0102862
70300,0.010493
70200,0.010696
70100,0.010896
70000,0.011094399999999999
69900,0.0112884
69800,0.0114774
69700,0.011661
69600,0.0118386
69500,0.0120098
69400,0.012173999999999999
69300,0.0123308
69200,0.0124796
69100,0.0126192
69000,0.012749
68900,0.0128708
68800,0.012985
68700,0.0130922
68600,0.0131924
68500,0.013286
68400,0.0133732
68300,0.0134542
68200,0.0135298
68100,0.0136002
68000,0.0136658
67900,0.0137258
67800,0.013779999999999999
67700,0.013828
67600,0.0138702
67500,0.013905800000000001
67400,0.013935
67300,0.0139572
67200,0.0139724
67100,0.0139802
67000,0.0139804
66900,0.013973600000000001
66800,0.0139594
66700,0.0139376
66600,0.0139088
66500,0.0138726
66400,0.0138284
66300,0.013777
66200,0.013718399999999999
66100,0.0136524
66000,0.013580199999999999
65900,0.0135
65800,0.013412199999999999
65700,0.0133174
65600,0.0132152
65500,0.013105
65400,0.012986800000000001
65300,0.0128606
65200,0.0127264
65100,0.0125834
65000,0.0124308
64900,0.0122704
64800,0.0121032
64700,0.0119284
64600,0.011747
64500,0.01156
64400,0.0113672
64300,0.0111686
64200,0.0109656
64100,0.0107592
64000,0.0105506
63900,0.0103372
63800,0.0101178
63700,0.0098928
63600,0.009661600000000001
63500,0.0094232
63400,0.009178
63300,0.0089248
63200,0.0086636
63100,0.0083924
63000,0.0081102
62900,0.0078204
62800,0.0075236
62700,0.007219799999999999
62600,0.0069094
62500,0.0065934
62400,0.006272
62300,0.0059458
62200,0.0056158
62100,0.0052824
62000,0.0049472
61900,0.0046086
61800,0.0042664
61700,0.0039212000000000006
61600,0.0035726
61500,0.0032208
61400,0.0028666
61300,0.002509
61200,0.0021482
61100,0.001785
61000,0.0014188
60900,0.0010496000000000001
60800,0.0006774000000000001
60700,0.0003026
60600,-7.500000000000001e-05
60500,-0.0004558
60400,-0.0008386
60300,-0.0012238000000000001
60200,-0.001612
60100,-0.0020032
60000,-0.0023966
59900,-0.0027914
59800,-0.0031877999999999997
59700,-0.0035851999999999998
59600,-0.0039832
59500,-0.0043812
59400,-0.0047788
59300,-0.0051758
59200,-0.0055720000000000006
59100,-0.0059666
59000,-0.0063594
58900,-0.00675
58800,-0.0071388
58700,-0.0075242
58600,-0.0079064
58500,-0.0082858
58400,-0.0086612
58300,-0.0090322
58200,-0.0093986
58100,-0.0097602
58000,-0.0101162
57900,-0.0104672
57800,-0.0108132
57700,-0.011155
57600,-0.011493
57500,-0.011826
57400,-0.0121544
57300,-0.0124788
57200,-0.012798799999999999
57100,-0.013115
57000,-0.013427999999999999
56900,-0.0137352
56800,-0.0140358
56700,-0.014329999999999999
56600,-0.0146168
56500,-0.0148952
56400,-0.0151646
56300,-0.015425
56200,-0.015676
56100,-0.015916200000000002
56000,-0.0161452
55900,-0.0163642
55800,-0.0165728
55700,-0.016770800000000002
55600,-0.016958400000000002
55500,-0.017134999999999997
55400,-0.017301
55300,-0.0174566
55200,-0.017601199999999997
55100,-0.017734399999999997
55000,-0.017856
54900,-0.0179666
54800,-0.0180658
54700,-0.0181534
54600,-0.01823
54500,-0.0182952
54400,-0.0183492
54300,-0.018392
54200,-0.018423
54100,-0.018444
54000,-0.0184542
53900,-0.0184524
53800,-0.018438200000000002
53700,-0.0184114
53600,-0.0183718
53500,-0.0183186
53400,-0.018252
53300,-0.0181714
53200,-0.0180768
53100,-0.017967399999999998
53000,-0.0178428
52900,-0.0177038
52800,-0.0175506
52700,-0.017383600000000003
52600,-0.0172024
52500,-0.0170078
52400,-0.0167996
52300,-0.0165784
52200,-0.0163442
52100,-0.0160974
52000,-0.0158382
51900,-0.015566400000000001
51800,-0.0152826
51700,-0.0149868
51600,-0.014679
51500,-0.0143596
51400,-0.0140288
51300,-0.0136864
51200,-0.013333
51100,-0.0129686
51000,-0.012592800000000001
50900,-0.012205800000000001
50800,-0.011808
50700,-0.011399000000000001
50600,-0.0109792
50500,-0.0105486
50400,-0.0101082
50300,-0.0096572
50200,-0.0091962
50100,-0.008725999999999987
50000,-0.00824739999999998
49900,-0.0077602
49800,-0.0072650000000000145
49700,-0.006761400000000022
49600,-0.006249999999999985
49500,-0.005731399999999977
49400,-0.0052049999999999996
49300,-0.004671800000000015
49200,-0.004131400000000024
49100,-0.003583799999999984
49000,-0.003028399999999976
48900,-0.002467
48800,-0.0019000000000000167
48700,-0.0013284000000000251
48600,-0.0007532000000000001
48500,-0.00017500000000000003
48400,0.0004062
48300,0.0009892
48200,0.0015726
48100,0.0021554
48000,0.002736
47900,0.003316
47800,0.0038956000000000004
47700,0.0044746000000000005
47600,0.0050528
47500,0.0056294000000000005
47400,0.0062050000000000004
47300,0.0067800000000000004
47200,0.0073538
47100,0.0079266
47000,0.0084998
46900,0.0090706
46800,0.009638
46700,0.0102018
46600,0.0107614
46500,0.0113158
46400,0.011864999999999999
46300,0.0124072
46200,0.0129424
46100,0.0134698
46000,0.0139882
45900,0.0144972
45800,0.014996599999999999
45700,0.0154866
45600,0.0159662
45500,0.0164352
45400,0.0168934
45300,0.0173396
45200,0.0177742
45100,0.018196999999999998
45000,0.0186072
44900,0.019005
44800,0.0193898
44700,0.0197616
44600,0.0201204
44500,0.0204658
44400,0.0207972
44300,0.0211146
44200,0.0214176
44100,0.021705199999999997
44000,0.0219776
43900,0.0222348
43800,0.0224758
43700,0.0227014
43600,0.0229106
43500,0.0231032
43400,0.023279400000000002
43300,0.0234386
43200,0.0235804
43100,0.0237058
43000,0.0238156
42900,0.023907
42800,0.0239798
42700,0.024034200000000002
42600,0.0240696
42500,0.0240856
42400,0.024082
42300,0.024059
42200,0.0240156
42100,0.0239504
42000,0.0238638
41900,0.0237578
41800,0.0236322
41700,0.0234876
41600,0.0233248
41500,0.0231442
41400,0.0229454
41300,0.022729199999999998
41200,0.0224958
41100,0.0222468
41000,0.0219824
40900,0.0217012
40800,0.0214024
