age,pre
0.0,0.01628
50.0,0.016197999999999997
100.0,0.016116
150.0,0.016027
200.0,0.015938
250.0,0.015842500000000002
300.0,0.015747
350.0,0.015645
400.0,0.015543
450.0,0.0154345
500.0,0.015326
550.0,0.0152115
600.0,0.015097
650.0,0.0149765
700.0,0.014856
750.0,0.014728999999999999
800.0,0.014602
850.0,0.0144695
900.0,0.014337
950.0,0.014199
1000.0,0.014061
1050.0,0.013918
1100.0,0.013775
1150.0,0.013627
1200.0,0.013479
1250.0,0.0133255
1300.0,0.013172
1350.0,0.0130135
1400.0,0.012855
1450.0,0.012691000000000001
1500.0,0.012527
1550.0,0.012358000000000001
1600.0,0.012189
1650.0,0.012014500000000001
1700.0,0.01184
1750.0,0.011661
1800.0,0.011482
1850.0,0.011297499999999999
1900.0,0.011113
1950.0,0.0109235
2000.0,0.010734
2050.0,0.010538
2100.0,0.010342
2150.0,0.010141
2200.0,0.00994
2250.0,0.009735
2300.0,0.00953
2350.0,0.009321
2400.0,0.009112
2450.0,0.008899500000000001
2500.0,0.008687
2550.0,0.0084715
2600.0,0.008256
2650.0,0.0080375
2700.0,0.007819
2750.0,0.007598
2800.0,0.007377
2850.0,0.007154
2900.0,0.006931
2950.0,0.0067065
3000.0,0.006482
3050.0,0.0062575
3100.0,0.006033
3150.0,0.0058075
3200.0,0.005582
3250.0,0.0053555
3300.0,0.005129
3350.0,0.004902
3400.0,0.004675
3450.0,0.0044480000000000006
3500.0,0.004221
3550.0,0.0039935
3600.0,0.003766
3650.0,0.0035389999999999996
3700.0,0.003312
3750.0,0.003085
3800.0,0.002858
3850.0,0.0026315
3900.0,0.002405
3950.0,0.0021785
4000.0,0.001952
4050.0,0.001727
4100.0,0.001502
4150.0,0.001278
4200.0,0.001054
4250.0,0.0008305000000000001
4300.0,0.000607
4350.0,0.00038500000000000003
4400.0,0.000163
4450.0,-5.8e-05
4500.0,-0.000279
4550.0,-0.000499
4600.0,-0.000719
4650.0,-0.0009375
4700.0,-0.001156
4750.0,-0.001373
4800.0,-0.00159
4850.0,-0.0018050000000000002
4900.0,-0.00202
4950.0,-0.002234
5000.0,-0.002448
5050.0,-0.002661
5100.0,-0.002874
5150.0,-0.0030845
5200.0,-0.003295
5250.0,-0.003503
5300.0,-0.003711
5350.0,-0.003915999999999999
5400.0,-0.004121
5450.0,-0.0043225
5500.0,-0.004524
5550.0,-0.0047220000000000005
5600.0,-0.00492
5650.0,-0.0051140000000000005
5700.0,-0.005308
5750.0,-0.005497500000000001
5800.0,-0.005687
5850.0,-0.0058715
5900.0,-0.006056
5950.0,-0.006236
6000.0,-0.006416
6050.0,-0.0065895
6100.0,-0.006763
6150.0,-0.006932
6200.0,-0.007101
6250.0,-0.007264
6300.0,-0.007427
6350.0,-0.007585
6400.0,-0.007743
6450.0,-0.0078955
6500.0,-0.008048
6550.0,-0.0081945
6600.0,-0.008341
6650.0,-0.0084825
6700.0,-0.008624
6750.0,-0.0087595
6800.0,-0.008895
6850.0,-0.009024500000000001
6900.0,-0.009154
6950.0,-0.009278000000000002
7000.0,-0.009402
7050.0,-0.0095195
7100.0,-0.009637
7150.0,-0.009749
7200.0,-0.009861
7250.0,-0.0099665
7300.0,-0.010072
7350.0,-0.010172
7400.0,-0.010272
7450.0,-0.0103655
7500.0,-0.010459
7550.0,-0.010547
7600.0,-0.010635
7650.0,-0.010717500000000001
7700.0,-0.0108
7750.0,-0.010876
7800.0,-0.010952
7850.0,-0.011023
7900.0,-0.011094
7950.0,-0.011158999999999999
8000.0,-0.011224
8050.0,-0.0112845
8100.0,-0.011345
8150.0,-0.0114005
8200.0,-0.011456
8250.0,-0.011505499999999998
8300.0,-0.011555
8350.0,-0.011598
8400.0,-0.011641
8450.0,-0.011678500000000001
8500.0,-0.011716
8550.0,-0.011747
8600.0,-0.011778
8650.0,-0.011803000000000001
8700.0,-0.011828
8750.0,-0.011845999999999999
8800.0,-0.011864
8850.0,-0.0118755
8900.0,-0.011887
8950.0,-0.0118915
9000.0,-0.011896
9050.0,-0.0118925
9100.0,-0.011889
9150.0,-0.0118785
9200.0,-0.011868
9250.0,-0.0118505
9300.0,-0.011833
9350.0,-0.011809
9400.0,-0.011785
9450.0,-0.0117545
9500.0,-0.011724
9550.0,-0.011687
9600.0,-0.01165
9650.0,-0.011607
9700.0,-0.011564
9750.0,-0.0115155
9800.0,-0.011467
9850.0,-0.011412499999999999
9900.0,-0.011358
9950.0,-0.011297999999999999
10000.0,-0.011238
10050.0,-0.0111735
10100.0,-0.011109
10150.0,-0.0110395
10200.0,-0.01097
10250.0,-0.010896
10300.0,-0.010822
10350.0,-0.010742999999999999
10400.0,-0.010664
10450.0,-0.0105815
10500.0,-0.010499
10550.0,-0.010412000000000001
10600.0,-0.010325
10650.0,-0.0102335
10700.0,-0.010142
10750.0,-0.010047500000000001
10800.0,-0.009953
10850.0,-0.009854
10900.0,-0.009755
10950.0,-0.0096525
11000.0,-0.00955
11050.0,-0.0094445
11100.0,-0.009339
11150.0,-0.0092295
11200.0,-0.00912
11250.0,-0.009007000000000001
11300.0,-0.008894
11350.0,-0.0087775
11400.0,-0.008661
11450.0,-0.008541
11500.0,-0.008421
11550.0,-0.0082975
11600.0,-0.008174
11650.0,-0.008047
11700.0,-0.00792
11750.0,-0.00779
11800.0,-0.00766
11850.0,-0.0075265
11900.0,-0.007393
11950.0,-0.0072569999999999996
12000.0,-0.007121
12050.0,-0.006982
12100.0,-0.006843
12150.0,-0.0067015
12200.0,-0.00656
12250.0,-0.0064165
12300.0,-0.006273
12350.0,-0.006128
12400.0,-0.005983
12450.0,-0.0058365
12500.0,-0.00569
12550.0,-0.005542
12600.0,-0.005394
12650.0,-0.005245
12700.0,-0.005096
12750.0,-0.0049455
12800.0,-0.004795
12850.0,-0.004644499999999999
12900.0,-0.004494
12950.0,-0.0043425
13000.0,-0.004191
13050.0,-0.0040385
13100.0,-0.003886
13150.0,-0.0037335
13200.0,-0.003581
13250.0,-0.003428
13300.0,-0.003275
13350.0,-0.0031219999999999998
13400.0,-0.002969
13450.0,-0.0028165
13500.0,-0.002664
13550.0,-0.0025120000000000003
13600.0,-0.00236
13650.0,-0.0022085
13700.0,-0.002057
13750.0,-0.0019069999999999998
13800.0,-0.001757
13850.0,-0.001608
13900.0,-0.001459
13950.0,-0.001312
14000.0,-0.001165
14050.0,-0.001021
14100.0,-0.000877
14150.0,-0.000735
14200.0,-0.000593
14250.0,-0.000453
14300.0,-0.000313
14350.0,-0.0001755
14400.0,-3.8e-05
14450.0,9.749999999999998e-05
14500.0,0.000233
14550.0,0.00036649999999999996
14600.0,0.0005
14650.0,0.000631
14700.0,0.000762
14750.0,0.0008914999999999999
14800.0,0.001021
14850.0,0.0011475
14900.0,0.001274
14950.0,0.001399
15000.0,0.001524
15050.0,0.001648
15100.0,0.001772
15150.0,0.0018935
15200.0,0.002015
15250.0,0.0021339999999999996
15300.0,0.002253
15350.0,0.0023699999999999997
15400.0,0.002487
15450.0,0.002601
15500.0,0.002715
15550.0,0.002826
15600.0,0.002937
15650.0,0.003045
15700.0,0.003153
15750.0,0.0032575
15800.0,0.003362
15850.0,0.0034635
15900.0,0.003565
15950.0,0.0036625
16000.0,0.00376
16050.0,0.0038534999999999984
16100.0,0.0039469999999999965
16150.0,0.004036499999999998
16200.0,0.004126
16250.0,0.0042115
16300.0,0.004297
16350.0,0.004378
16400.0,0.004459
16450.0,0.004536
16500.0,0.004613
16550.0,0.004685
16600.0,0.004757
16650.0,0.004824999999999999
16700.0,0.004893
16750.0,0.004956
16800.0,0.005019
16850.0,0.005077
16900.0,0.005135
16950.0,0.005189
17000.0,0.005243
17050.0,0.0052915
17100.0,0.00534
17150.0,0.005384
17200.0,0.005428
17250.0,0.005468
17300.0,0.005508
17350.0,0.0055435
17400.0,0.005579
17450.0,0.0056105
17500.0,0.005642
17550.0,0.0056695
17600.0,0.005697
17650.0,0.005721
17700.0,0.005745
17750.0,0.005765
17800.0,0.005785
17850.0,0.0058015
17900.0,0.005818
17950.0,0.005830500000000001
18000.0,0.005843
18050.0,0.0058530000000000006
18100.0,0.005863
18150.0,0.005869
18200.0,0.005875
18250.0,0.0058775
18300.0,0.00588
18350.0,0.0058790000000000005
18400.0,0.005878
18450.0,0.005873
18500.0,0.005868
18550.0,0.005860000000000001
18600.0,0.005852
18650.0,0.00584
18700.0,0.005828
18750.0,0.0058130000000000005
18800.0,0.005798
18850.0,0.0057795
18900.0,0.005761
18950.0,0.0057385
19000.0,0.005716
19050.0,0.0056915
19100.0,0.005667
19150.0,0.0056385
19200.0,0.00561
19250.0,0.0055785
19300.0,0.005547
19350.0,0.0055119999999999995
19400.0,0.005477
19450.0,0.005439
19500.0,0.005401
19550.0,0.005359
19600.0,0.005317
19650.0,0.005272
19700.0,0.005227
19750.0,0.005178
19800.0,0.005129
19850.0,0.005077
19900.0,0.005025
19950.0,0.0049695
20000.0,0.004914
