age,obl
97400,0.4127972
97300,0.4125394
97200,0.41227959999999997
97100,0.4120178
97000,0.411754
96900,0.4114882
96800,0.41122040000000004
96700,0.410951
96600,0.4106798
96500,0.4104068
96400,0.410133
96300,0.40985720000000003
96200,0.40957980000000005
96100,0.40930140000000004
96000,0.409022
95900,0.4087416
95800,0.4084602
95700,0.4081774
95600,0.4078934
95500,0.4076086
95400,0.4073226
95300,0.4070362
95200,0.40674920000000003
95100,0.40646140000000003
95000,0.4061724
94900,0.4058834
94800,0.405594
94700,0.405304
94600,0.405014
94500,0.40472359999999996
94400,0.4044326
94300,0.404142
94200,0.4038516
94100,0.403561
94000,0.403271
93900,0.4029814
93800,0.4026924
93700,0.4024034
93600,0.4021152
93500,0.4018282
93400,0.4015412
93300,0.401255
93200,0.4009704
93100,0.4006868
93000,0.4004038
92900,0.40012159999999997
92800,0.3998414
92700,0.3995628
92600,0.3992852
92500,0.3990086
92400,0.3987334
92300,0.3984602
92200,0.398189
92100,0.39791940000000003
92000,0.3976512
91900,0.397385
91800,0.3971208
91700,0.3968586
91600,0.39659880000000003
91500,0.3963412
91400,0.3960854
91300,0.3958326
91200,0.3955824
91100,0.39533419999999997
91000,0.39508879999999996
90900,0.3948466
90800,0.3946068
90700,0.39437
90600,0.3941362
90500,0.3939054
90400,0.3936776
90300,0.3934532
90200,0.3932324
90100,0.3930146
90000,0.3928002
89900,0.3925898
89800,0.392383
89700,0.3921792
89600,0.3919792
89500,0.3917834
89400,0.391591
89300,0.3914026
89200,0.3912178
89100,0.3910368
89000,0.39086
88900,0.390687
88800,0.3905182
88700,0.3903532
88600,0.3901928
88500,0.3900364
88400,0.3898844
88300,0.389737
88200,0.389594
88100,0.389456
88000,0.3893226
87900,0.38919319999999996
87800,0.3890686
87700,0.3889492
87600,0.38883419999999996
87500,0.38872419999999996
87400,0.3886192
87300,0.3885188
87200,0.3884232
87100,0.3883332
87000,0.3882478
86900,0.3881672
86800,0.3880918
86700,0.3880212
86600,0.38795620000000003
86500,0.3878962
86400,0.3878412
86300,0.3877912
86200,0.3877462
86100,0.3877066
86000,0.3876722
85900,0.3876426
85800,0.3876186
85700,0.3875996
85600,0.3875856
85500,0.387577
85400,0.38757359999999996
85300,0.3875754
85200,0.387583
85100,0.3875954
85000,0.3876134
84900,0.3876364
84800,0.3876648
84700,0.38769879999999995
84600,0.3877378
84500,0.3877822
84400,0.3878322
84300,0.3878872
84200,0.3879472
84100,0.38801220000000003
84000,0.3880826
83900,0.3881586
83800,0.3882396
83700,0.3883256
83600,0.3884166
83500,0.3885126
83400,0.3886136
83300,0.3887196
83200,0.3888302
83100,0.3889456
83000,0.3890662
82900,0.3891912
82800,0.3893212
82700,0.38945620000000003
82600,0.3895958
82500,0.3897398
82400,0.3898888
82300,0.3900424
82200,0.3902004
82100,0.3903634
82000,0.390531
81900,0.3907026
81800,0.3908786
81700,0.3910592
81600,0.3912442
81500,0.3914334
81400,0.3916264
81300,0.391824
81200,0.39202560000000003
81100,0.3922312
81000,0.39244039999999997
80900,0.3926534
80800,0.3928706
80700,0.39309120000000003
80600,0.3933154
80500,0.393543
80400,0.3937742
80300,0.3940088
80200,0.39424699999999996
80100,0.3944882
80000,0.3947324
79900,0.3949796
79800,0.39523020000000003
79700,0.395484
79600,0.3957402
79500,0.3959994
79400,0.3962616
79300,0.3965264
79200,0.39679359999999997
79100,0.3970638
79000,0.3973366
78900,0.3976118
78800,0.3978896
78700,0.3981694
78600,0.3984516
78500,0.398736
78400,0.3990222
78300,0.3993106
78200,0.39960080000000003
78100,0.3998932
78000,0.4001866
77900,0.4004814
77800,0.4007782
77700,0.4010766
77600,0.401376
77500,0.4016768
77400,0.4019788
77300,0.4022816
77200,0.4025856
77100,0.4028904
77000,0.4031964
76900,0.4035028
76800,0.4038098
76700,0.4041172
76600,0.4044256
76500,0.4047346
76400,0.405044
76300,0.4053536
