age,d18O
47680.0,2.3
47990.0,2.33
48310.0,2.38
48620.0,2.42
48940.0,2.42
49230.0,2.41
49500.0,2.38
49500.0,2.4
49760.0,2.36
50030.0,2.03
50330.0,2.1
50630.0,2.06
50940.0,1.63
50940.0,1.79
51240.0,2.0
51540.0,1.6
51840.0,1.56
52140.0,1.41
52230.0,1.66
52310.0,1.72
52390.0,1.83
52470.0,1.51
52550.0,1.5
52630.0,1.59
52710.0,1.42
52790.0,1.41
52870.0,1.4
52950.0,1.53
53030.0,1.41
53110.0,1.81
53190.0,1.48
53270.0,1.46
53350.0,1.3
53430.0,1.3
53510.0,1.35
53590.0,1.34
53670.0,1.25
53750.0,1.06
53830.0,1.17
53910.0,1.18
53990.0,1.26
54070.0,1.11
54150.0,1.23
54230.0,1.32
54310.0,1.3
54390.0,1.17
54480.0,1.45
54620.0,2.07
54760.0,1.97
54910.0,1.7
55060.0,1.87
55210.0,1.78
55360.0,1.98
55510.0,1.95
55660.0,1.72
55810.0,2.04
55970.0,1.84
56120.0,2.15
56270.0,2.01
56420.0,1.97
56580.0,1.94
56730.0,2.03
56880.0,1.76
57040.0,1.22
57190.0,1.29
57330.0,1.33
57480.0,1.18
57630.0,1.18
57780.0,1.28
58070.0,1.24
58220.0,1.75
58370.0,1.53
58520.0,2.11
58660.0,2.14
58750.0,2.04
58860.0,1.89
58970.0,2.0
59090.0,1.34
59380.0,1.45
59670.0,1.95
59960.0,2.01
60250.0,2.05
60840.0,2.21
61130.0,2.3
61420.0,2.08
61720.0,2.43
62010.0,2.39
62300.0,2.34
62590.0,2.42
63180.0,2.71
63470.0,2.57
63760.0,2.66
63930.0,2.52
64090.0,2.29
64260.00000000001,1.96
64620.00000000001,2.28
65030.0,2.56
65450.0,2.64
65860.0,2.85
66270.0,2.57
66680.0,2.75
66940.0,2.38
67550.0,2.16
67780.0,2.14
68000.0,2.09
68230.0,2.08
68460.0,1.99
68680.0,2.11
68950.0,2.0
69290.0,2.07
69630.0,2.26
69970.0,1.98
70320.0,1.84
70650.0,1.51
70990.0,1.71
71330.0,1.21
71680.0,1.5
72010.0,1.3
72360.0,1.33
72690.0,1.74
72980.0,1.81
73190.0,1.86
73380.0,1.38
73580.0,1.06
73780.0,1.11
73970.0,0.78
74170.0,0.83
74360.0,0.86
74560.0,1.0
74970.0,1.63
75300.0,1.92
75570.0,2.06
75840.0,2.01
76120.0,2.06
76390.0,1.99
76670.0,1.69
76890.0,1.53
77110.0,1.27
77350.0,1.14
77590.0,1.11
77830.0,1.14
78080.0,0.93
78320.0,1.02
78560.0,1.01
78810.0,0.99
79050.0,1.04
79300.0,1.13
79540.0,0.75
79780.0,1.07
80020.0,1.02
80270.0,0.71
80510.0,0.96
80750.0,0.93
81000.0,1.01
81240.0,1.01
81480.0,0.99
81730.0,0.75
81970.0,0.84
82210.0,0.93
82460.0,0.66
82700.0,0.9
82940.0,1.23
83180.0,1.61
83410.0,1.65
83630.0,1.72
83860.0,1.84
84190.0,2.16
84520.0,2.08
84850.0,2.13
85170.0,2.2
85500.0,2.13
85840.0,2.12
86170.0,2.26
86500.0,2.25
86820.0,2.28
87260.0,1.47
87440.0,1.22
87750.0,1.12
88050.0,1.15
88360.0,1.14
88660.0,0.99
88970.0,1.05
89280.0,0.86
89580.0,1.12
89890.0,0.98
90190.0,0.84
90500.0,0.84
90800.0,0.96
91110.0,1.03
91410.0,0.9
91720.0,1.01
92020.0,1.14
92330.0,1.02
92640.0,0.92
92940.0,1.09
93250.0,0.91
93550.0,0.9
93830.0,0.89
94090.0,0.87
94360.0,1.09
94620.0,0.98
94880.0,1.03
95150.0,1.06
95410.0,1.2
95670.0,0.99
95940.0,0.89
96200.0,0.89
96460.0,1.03
96730.0,1.0
96990.0,1.17
97250.0,1.12
97520.0,1.04
97780.0,1.06
98050.0,0.91
98310.0,0.84
98570.0,0.93
98830.0,0.95
99100.0,0.92
99360.0,0.78
99620.0,0.88
99880.0,1.01
100150.0,0.91
100670.0,0.76
100940.0,1.0
101200.0,0.76
101460.0,0.43
101730.0,0.46
101990.0,0.49
102260.0,0.73
102520.0,0.61
102780.0,0.82
103050.0,0.6
103310.0,0.86
103620.0,1.34
103950.0,1.79
104270.0,1.68
104610.0,2.01
104940.0,1.86
105600.0,1.76
105930.0,1.41
106270.0,1.24
106620.0,1.06
106970.0,0.59
107660.0,0.87
108020.0,0.76
108360.0,0.62
108710.0,0.53
109070.0,0.58
109410.0,1.03
109620.0,0.66
109680.0,1.18
109710.0,1.66
109740.0,1.08
109760.0,1.77
109790.0,1.98
109820.0,2.1
109850.0,2.11
109880.0,2.26
109910.0,2.23
109940.0,2.02
109970.0,2.24
110050.0,1.97
110120.0,1.93
110170.0,1.22
110230.0,1.55
110290.0,1.18
110360.0,1.63
110420.0,1.19
110480.0,1.07
110540.0,1.31
110640.0,1.13
110740.0,0.94
110840.0,0.87
110930.0,1.16
111030.0,1.07
111120.0,0.94
111220.0,0.91
111320.0,0.95
111410.0,0.97
111510.0,0.98
111610.0,0.96
111700.0,0.69
111810.0,0.88
111900.0,0.81
112000.0,0.93
112090.0,0.65
112190.0,0.78
112290.0,0.77
112390.0,0.75
112480.0,0.7
112580.0,0.78
112670.0,0.53
112870.0,0.7
112970.0,0.83
113060.0,0.83
113160.0,0.78
113270.0,0.78
113380.0,0.99
113490.0,0.63
113600.0,0.76
113700.0,0.84
113810.0,0.81
113910.0,0.77
114030.0,0.81
114130.0,0.75
114230.0,0.87
114340.0,0.91
114450.0,0.92
114560.0,0.85
114670.0,1.05
114770.0,0.87
114870.0,1.06
115030.0,0.89
115360.0,0.98
115520.0,0.92
115690.0,0.88
115860.0,0.96
116020.0,0.87
116170.0,0.94
116340.0,0.95
116510.0,0.8
116670.0,0.99
116840.0,0.55
117000.0,0.81
117200.0,0.64
117380.0,0.77
117560.0,0.83
117750.0,0.7
117930.0,0.61
118130.0,0.65
118320.0,0.59
118500.0,0.88
118690.0,0.71
118870.0,0.99
119050.0,0.67
119150.0,0.72
119220.0,0.65
119290.0,0.79
119430.0,0.66
119500.0,0.63
119560.0,0.65
119630.0,0.55
119700.0,0.53
119770.0,0.56
119840.0,0.62
119900.0,0.56
119970.0,0.5
120040.0,0.32
120110.0,0.48
120180.0,0.35
120250.0,0.46
120310.0,0.4
120380.0,0.48
120450.0,0.45
120520.0,0.81
120590.0,0.76
120660.0,0.49
120730.0,0.58
120790.0,0.64
120860.0,0.83
120930.0,0.63
121000.0,0.4
121070.0,0.7
121140.0,0.66
121210.0,0.38
121290.0,0.9
121360.0,0.82
121430.0,0.59
121540.0,0.69
121670.0,0.5
