age,d18O
140.0,3.36
280.0,3.245
420.0,3.27
560.0,3.24
700.0,3.17
840.0,3.23
980.0,3.21
1130.0,3.26
1270.0,3.125
1550.0,3.32
1690.0,3.215
1830.0,3.16
1970.0,3.22
2110.0,3.18
2250.0,3.28
2390.0,3.18
2520.0,3.21
2650.0,3.32
2780.0,3.17
2910.0,3.43
3040.0,3.2918
3170.0,3.49
3300.0,3.36
3430.0,3.23
3560.0,3.29
3690.0,3.275
3820.0,3.37
3950.0,3.25
4070.0000000000005,3.21
4200.0,3.25
4330.0,3.125
4460.0,3.17
4590.0,3.255
4720.0,3.11
4850.0,3.23
4980.0,3.375
5110.0,3.275
5240.0,3.1628
5370.0,3.2155
5500.0,3.1922
5630.0,3.2141
5760.0,3.2555
5880.0,3.2712
6010.0,3.2881
6140.0,3.2644
6270.0,3.2178
6400.0,3.1614
6530.0,3.2539
6660.0,3.334
6790.0,3.2341
6920.0,3.2426
7050.0,3.2533
7180.0,3.2154
7310.0,3.1373
7440.0,3.0645
7570.0,3.157
7690.0,3.2535
7820.0,3.295
7950.0,3.1823
8109.999999999999,3.1889
8490.0,3.2207
8880.0,3.2534
9260.0,3.3099
9650.0,3.3362
10030.0,3.2135
10420.0,3.25
10800.0,3.4301
11190.0,3.1979
11500.0,3.41
11710.0,3.3447
13260.0,3.2149
14440.0,3.2614
14820.0,3.3816
15110.0,3.6169
15400.0,3.7468
15680.0,3.1474
15960.0,3.7837
16250.0,3.9697
16530.0,3.4903
16660.0,3.501
16720.0,3.8991
16780.0,3.6325
16840.0,3.8419
16900.0,4.1453
16950.0,4.0206
17010.0,3.9936
17070.0,3.9618
17130.0,4.0547
17190.0,4.1144
17250.0,4.0505
17300.0,4.0589
17360.0,3.7606
17420.0,4.1036
17480.0,4.3355
17540.0,4.3399
17590.0,4.4422
17650.0,4.4007
17710.0,4.3403
17830.0,4.5786
17940.0,4.6648
18060.0,4.6544
18180.0,4.7805
18300.0,4.7173
18420.0,4.7536
18540.0,4.8797
18590.0,5.0457
18760.0,5.0621
18890.0,5.0586
19030.0,4.9755
19160.0,5.0816
19290.0,5.0114
19430.0,4.9681
19560.0,5.2038
19690.0,5.0615
19830.0,5.0404
19960.0,5.1665
20090.0,5.0435
20230.0,5.0926
20360.0,5.1613
20490.0,5.0854
20630.0,5.139
20760.0,5.0631
20890.0,5.0469
21030.0,5.1205
21160.0,4.8751
21290.0,5.128
21430.0,5.0235
21560.0,5.137
21690.0,5.1396
21830.0,5.0027
21960.0,5.0731
22090.0,4.9841
22230.0,4.9433
22370.0,5.033
22530.0,4.8674
22680.0,4.8213
22990.0,4.9914
23140.0,4.8925
23300.0,4.9466
23450.0,4.8701
23610.0,4.8729
23760.0,4.8873
23910.0,4.5734
24100.0,4.7863
24280.0,4.7343
24470.0,4.9124
24660.0,4.8234
24750.0,4.8313
24840.0,4.837
24940.0,4.7688
25030.0,4.7645
25120.0,4.84
25210.0,4.9753
25310.0,4.7419
25400.0,4.8532
25500.0,4.8281
25590.0,4.9251
25770.0,4.8129
25870.0,4.8104
25960.0,4.9274
26050.0,4.8351
26150.0,4.8978
26240.0,4.7126
26330.0,4.8938
26520.0,4.8842
26610.0,4.7776
26710.0,4.7076
26800.0,4.8315
26900.0,4.7721
27000.0,4.8009
27090.0,5.0248
27190.0,4.7658
27290.0,4.8656
27380.0,4.786
27480.0,4.7263
27580.0,4.856
27670.0,4.7564
27770.0,4.7867
27870.0,4.8584
27960.0,4.6973
28060.0,4.7273
28160.0,4.7075
28250.0,4.6977
28350.0,4.6579
28450.0,4.8075
28540.0,4.7977
28640.0,4.7104
28740.0,4.75
28830.0,4.63
28930.0,4.775
29040.0,4.625
29150.0,4.68
29260.0,4.69
29370.0,4.56
29480.0,4.75
29590.0,4.695
29700.0,4.62
29840.0,4.6908
29990.0,4.7158
30130.0,4.6854
30270.0,4.7411
30420.0,4.7356
30560.0,4.7364
30700.0,4.6961
30840.0,4.6722
30980.0,4.6773
31110.0,4.6525
31250.0,4.6371
31390.0,4.6729
31530.0,4.6177
31660.0,4.6728
31800.0,4.6989
31940.0,4.61
32080.0,4.651
32210.0,4.6184
32350.0,4.7919
32490.000000000004,4.6638
32590.000000000004,4.4616
32689.999999999996,4.6331
32800.0,4.7163
32900.0,4.5191
33000.0,4.5176
33110.0,4.4784
33210.0,4.5616
33310.0,4.6748
33410.0,4.6783
33520.0,4.5722
33620.0,4.4562
33720.0,4.568
33830.0,4.585
33910.0,4.629
34000.0,4.4984
34090.0,4.5409
34180.0,4.5498
34260.0,4.5026
34350.0,4.4382
34440.0,4.635
34520.0,4.7067
34610.0,4.69
34700.0,4.685
34960.0,4.595
35050.0,4.66
35130.0,4.615
35220.0,4.57
35310.0,4.595
35390.0,4.56
35480.0,4.52
35570.0,4.39
35670.0,4.42
35770.0,4.45
35870.0,4.52
35980.0,4.48
36080.0,4.53
36190.0,4.42
36300.0,4.585
36420.0,4.61
