age,d18O
46075.0,-58.25
46257.0,-57.25
46453.0,-55.88
46792.0,-58.61
46973.0,-58.7
47157.0,-57.44
47532.0,-57.93
47728.0,-58.85
47936.0,-57.48
48431.0,-59.04
48676.0,-58.62
48926.0,-57.79
49431.0,-58.43
49663.0,-57.7
49897.0,-58.52
50364.0,-58.42
50586.0,-58.43
50806.0,-58.31
51255.0,-58.25
51482.0,-58.14
51718.0,-57.92
52176.0,-57.03
52410.0,-58.7
52614.0,-58.23
53035.0,-57.54
53238.0,-57.34
53436.0,-57.39
53832.0,-57.55
54025.0,-56.63
54222.0,-57.72
54623.0,-57.38
54819.0,-57.98
55008.0,-56.95
55424.0,-58.15
55635.0,-58.38
55844.0,-57.39
56280.0,-58.55
56511.0,-57.78
56738.0,-58.61
57181.0,-58.51
57407.0,-57.6
57625.0,-57.31
58039.0,-57.65
58229.0,-57.82
58429.0,-57.32
58849.0,-58.49
59061.0,-57.53
59262.0,-57.84
59635.0,-56.37
59817.0,-58.08
59995.0,-57.9
60369.0,-57.65
60548.0,-56.85
60745.0,-56.83
60921.0,-58.04
61306.0,-58.17
61515.0,-58.05
61877.0,-58.48
62070.0,-58.39
62272.0,-58.54
62471.0,-58.62
62872.0,-58.63
63100.0,-59.64
63552.0,-59.11
63781.0,-59.87
64009.0,-59.45
64466.0,-58.31
64694.0,-59.38
64922.0,-58.92
65399.0,-59.75
65653.0,-59.68
65895.0,-59.12
66410.0,-59.23
66671.0,-59.7
66938.0,-59.57
67431.0,-60.0
67700.0,-59.4
67961.0,-59.96
68219.0,-59.71
68480.0,-60.22
68734.0,-59.09
68984.0,-60.5
69221.0,-59.75
69459.0,-59.64
69699.0,-59.42
69936.0,-59.7
70188.0,-59.76
70436.0,-59.67
70679.0,-59.88
70923.0,-59.69
71166.0,-60.14
71409.0,-58.92
71653.0,-59.35
71896.0,-58.58
72139.0,-58.26
72383.0,-58.78
72625.0,-59.09
72831.0,-59.56
73030.0,-58.66
73262.0,-58.64
73493.0,-59.58
73723.0,-59.51
73961.0,-59.25
74215.0,-57.98
74449.0,-58.12
74699.0,-58.94
74844.0,-58.21
75168.0,-58.81
75396.0,-57.53
75621.0,-57.93
75820.0,-57.56
76029.0,-57.91
76226.0,-58.52
76362.0,-57.51
76650.0,-57.47
76777.0,-58.38
76861.0,-59.56
77125.0,-59.11
77380.0,-57.51
77549.0,-57.23
77836.0,-58.06
78080.0,-58.29
78313.0,-57.77
78525.0,-58.53
78754.0,-59.1
78971.0,-58.33
79187.0,-57.68
79402.0,-57.67
79614.0,-58.53
79807.0,-57.92
79994.0,-57.9
80210.0,-57.07
80410.0,-57.89
80599.0,-57.12
80780.0,-57.11
80956.0,-57.05
81163.0,-56.61
81346.0,-56.69
81533.0,-57.22
81717.0,-57.17
81906.0,-56.89
82107.0,-57.17
82297.0,-56.19
82480.0,-57.25
82651.0,-56.49
82837.0,-57.27
83023.0,-55.6
83202.0,-56.48
83382.0,-56.31
83575.0,-55.84
83755.0,-56.29
83934.0,-56.08
84112.0,-55.76
84293.0,-56.12
84485.0,-56.79
84660.0,-56.0
84772.0,-55.96
85038.0,-56.18
85219.0,-56.93
85412.0,-56.81
85612.0,-57.13
85819.0,-57.78
86010.0,-56.95
86169.0,-57.81
86359.0,-57.48
86569.0,-56.96
86698.0,-57.31
86996.0,-57.87
87209.0,-57.65
87426.0,-57.54
87626.0,-57.94
87831.0,-59.26
88034.0,-58.4
88237.0,-58.79
88440.0,-57.98
88902.0,-58.46
89135.0,-58.52
89366.0,-59.02
89623.0,-57.27
90063.0,-58.48
90297.0,-58.5
90543.0,-57.22
90765.0,-57.66
90984.0,-57.66
91217.0,-56.58
91459.0,-58.53
91701.0,-58.2
91947.0,-57.7
92183.0,-58.06
92425.0,-57.62
92659.0,-58.43
92880.0,-57.82
93118.0,-58.18
93338.0,-57.19
93572.0,-57.33
93783.0,-57.9
94018.0,-58.13
94256.0,-57.14
94482.0,-57.05
94726.0,-57.35
94948.0,-56.66
95172.0,-57.98
95418.0,-56.57
95658.0,-57.72
95915.0,-57.5
96152.0,-56.87
96396.0,-57.56
96631.0,-57.7
96885.0,-57.22
97130.0,-56.94
97373.0,-57.6
97613.0,-57.05
97853.0,-56.12
98084.0,-56.01
98317.0,-57.17
98532.0,-56.5
98742.0,-56.71
98955.0,-57.01
99169.0,-56.1
99383.0,-56.64
99589.0,-56.92
99783.0,-56.3
99973.0,-56.99
100171.0,-56.84
100362.0,-57.17
100542.0,-57.07
100662.0,-56.72
100904.0,-56.73
101095.0,-56.45
101266.0,-56.49
101437.0,-56.79
101618.0,-56.16
101779.0,-56.25
101935.0,-57.53
102102.0,-56.66
102297.0,-57.08
102479.0,-57.44
102673.0,-57.38
102869.0,-58.66
103087.0,-58.07
103299.0,-57.96
103513.0,-57.86
103714.0,-57.56
103915.0,-57.45
104125.0,-56.75
104316.0,-56.88
104514.0,-57.98
104726.0,-57.26
104931.0,-57.78
105150.0,-57.48
105348.0,-56.41
105562.0,-57.2
105759.0,-57.37
105967.0,-57.84
106172.0,-57.28
106394.0,-57.57
106612.0,-59.1
106839.0,-58.0
107078.0,-58.87
107337.0,-59.03
107614.0,-59.55
107898.0,-59.19
108177.0,-59.72
108467.0,-58.92
108752.0,-59.1
109038.0,-58.73
109341.0,-58.3
109644.0,-59.05
109953.0,-58.78
110268.0,-57.94
110582.0,-58.91
110948.0,-58.7
111274.0,-58.84
111618.0,-58.44
111911.0,-58.61
112309.0,-58.31
112635.0,-57.6
112968.0,-58.15
113278.0,-58.31
113610.0,-58.05
113931.0,-58.06
114244.0,-57.76
114559.0,-57.05
114882.0,-57.3
115168.0,-56.66
115510.0,-57.08
115783.0,-56.98
116070.0,-56.79
116350.0,-56.68
116618.0,-56.07
116901.0,-56.0
117176.0,-55.7
117424.0,-56.69
117723.0,-56.24
117977.0,-54.76
118232.0,-55.31
118485.0,-55.02
118745.0,-55.13
118990.0,-55.49
119249.0,-55.38
119505.0,-54.93
119754.0,-55.17
120018.0,-54.76
120270.0,-54.34
120518.0,-54.11
120770.0,-54.06
121011.0,-53.92
121256.0,-54.69
121497.0,-53.34
121756.0,-54.27
122001.0,-53.25
122235.0,-53.51
122468.0,-54.54
122697.0,-54.06
122943.0,-53.14
123185.0,-53.99
123425.0,-53.61
123652.0,-53.45
123881.0,-54.08
124113.0,-53.52
124359.0,-53.3
124600.0,-53.97
124843.0,-52.76
125088.0,-53.55
125332.0,-54.1
125571.0,-53.57
125815.0,-53.71
126064.0,-53.88
126323.0,-53.04
126544.0,-52.17
126786.0,-52.54
127024.0,-52.21
127262.0,-51.83
127490.0,-51.61
127584.0,-52.03
127959.0,-51.23
128184.0,-51.7
128404.0,-51.85
128643.0,-51.24
128863.0,-51.77
129080.0,-51.09
129304.0,-51.66
129520.0,-52.05
129738.0,-51.45
129965.0,-51.61
130181.0,-52.6
130421.0,-52.95
130651.0,-53.5
130842.0,-53.4
131099.0,-54.04
131359.0,-54.47
131682.0,-55.05
131913.0,-54.39
132256.0,-55.18
132562.0,-55.32
132830.0,-56.82
132987.0,-56.04
133196.0,-56.52
133331.0,-56.38
133508.0,-56.89
133624.0,-56.32
133834.0,-56.75
133954.0,-57.8
134300.0,-58.71
134518.0,-58.17
134661.0,-57.65
134902.0,-59.02
135066.0,-58.25
135314.0,-59.28
135478.0,-58.61
135735.0,-58.79
135928.0,-58.1
136219.0,-58.71
136408.0,-57.9
136712.0,-59.32
136911.0,-59.18
137210.0,-58.98
137417.0,-59.45
137730.0,-59.3
137939.0,-58.61
138245.0,-59.46
138466.0,-59.39
138818.0,-59.1
139052.0,-59.31
139401.0,-59.9
139634.0,-59.88
139983.0,-59.58
140216.0,-59.69
140565.0,-59.88
140798.0,-59.24
141147.0,-59.59
141379.0,-59.34
141729.0,-59.01
141961.0,-59.03
142311.0,-59.55
142543.0,-58.99
142893.0,-59.07
143125.0,-59.21
143475.0,-59.68
143707.0,-58.41
144057.0,-59.74
144288.0,-59.71
144583.0,-58.82
144780.0,-59.03
145125.0,-59.07
145351.0,-59.22
145690.0,-58.87
145917.0,-59.32
146256.0,-59.66
146596.0,-58.65
146795.0,-58.88
146983.0,-58.7
147265.0,-59.45
147470.0,-59.05
147795.0,-59.34
148012.0,-59.6
148336.0,-58.68
148553.0,-58.65
148878.0,-58.65
149079.0,-58.63
149389.0,-58.67
149590.0,-58.1
149891.0,-58.97
150091.0,-59.29
150390.0,-58.61
150590.0,-58.5
150888.0,-58.22
151076.0,-58.03
151367.0,-58.64
151547.0,-57.78
151796.0,-58.21
152009.0,-58.27
152328.0,-59.01
152541.0,-58.52
152754.0,-58.55
153074.0,-58.56
153393.0,-58.62
153607.0,-58.47
153926.0,-59.1
154139.0,-58.93
154459.0,-59.11
154672.0,-59.37
154991.0,-59.29
155204.0,-59.08
155524.0,-59.26
155737.0,-59.6
156056.0,-59.7
156270.0,-60.02
156618.0,-59.72
156857.0,-59.4
157216.0,-60.34
157336.0,-59.42
157814.0,-59.35
158054.0,-59.72
158425.0,-59.79
158680.0,-59.07
159050.0,-59.96
159285.0,-59.0
159575.0,-59.79
159785.0,-59.41
160104.0,-58.06
160317.0,-57.82
160636.0,-58.59
160848.0,-58.5
161165.0,-59.65
161379.0,-58.19
161718.0,-58.86
161944.0,-59.24
162304.0,-58.9
162540.0,-59.73
162880.0,-59.14
162992.0,-58.41
163407.0,-58.11
163614.0,-57.54
163938.0,-58.57
164129.0,-58.48
164484.0,-58.43
164722.0,-57.64
165079.0,-58.69
165198.0,-58.86
165674.0,-59.2
165912.0,-59.57
166296.0,-59.22
166698.0,-59.71
167057.0,-58.96
167561.0,-58.5
167953.0,-58.92
168337.0,-58.73
168847.0,-58.07
169345.0,-57.96
169694.0,-58.32
170062.0,-57.52
170410.0,-58.02
170842.0,-58.65
171174.0,-57.97
171968.0,-57.49
172320.0,-58.0
172677.0,-58.76
173160.0,-58.39
173569.0,-58.52
174104.0,-57.79
174412.0,-58.0
174699.0,-57.76
175026.0,-57.16
175491.0,-57.31
175888.0,-58.18
176751.0,-58.97
177031.0,-59.12
177461.0,-58.14
177975.0,-58.73
178254.0,-58.31
178612.0,-58.64
179066.0,-58.7
179350.0,-58.5
179820.0,-58.17
180243.0,-57.9
180486.0,-58.86
180833.0,-57.56
181256.0,-58.04
181519.0,-57.8
181930.0,-57.56
182410.0,-59.84
182698.0,-59.7
183095.0,-58.94
183548.0,-59.69
183831.0,-58.83
184228.0,-59.16
184681.0,-60.11
184964.0,-59.71
185361.0,-60.6
185814.0,-58.95
186097.0,-59.39
186494.0,-59.4
186947.0,-59.34
187230.0,-60.1
187622.0,-59.95
188080.0,-58.65
188363.0,-58.97
188759.0,-58.26
189232.0,-58.76
189522.0,-58.23
189873.0,-56.79
190438.0,-59.34
190786.0,-57.95
191197.0,-59.12
191477.0,-58.35
191838.0,-58.14
192325.0,-59.35
192622.0,-58.58
193048.0,-58.53
193527.0,-57.71
193807.0,-57.69
194161.0,-57.78
194590.0,-57.77
194833.0,-58.42
195336.0,-58.13
195926.0,-58.35
196276.0,-58.05
196768.0,-56.79
197312.0,-57.68
197610.0,-56.47
197856.0,-56.19
198151.0,-56.99
198649.0,-55.73
199149.0,-56.03
199399.0,-56.16
199648.0,-55.46
199897.0,-56.03
200394.0,-54.76
200625.0,-55.39
200859.0,-54.01
201329.0,-55.17
201563.0,-55.34
201798.0,-54.93
202302.0,-56.64
202555.0,-55.84
202796.0,-56.59
203291.0,-56.74
203511.0,-56.66
203783.0,-56.38
204352.0,-57.62
204652.0,-57.74
204899.0,-57.85
205550.0,-57.54
205827.0,-58.26
206139.0,-57.07
206781.0,-57.9
207092.0,-57.43
207689.0,-56.73
208000.0,-56.89
208291.0,-57.8
208610.0,-56.26
209202.0,-56.14
209521.0,-57.01
210133.0,-57.07
210428.0,-56.27
210723.0,-56.65
211000.0,-56.61
211549.0,-56.08
211823.0,-55.38
212098.0,-55.57
212647.0,-56.14
212921.0,-55.61
213196.0,-54.38
213745.0,-55.48
214019.0,-56.03
214294.0,-54.8
214849.0,-54.27
215145.0,-55.3
215423.0,-55.19
216105.0,-55.13
216168.0,-54.8
216279.0,-55.5
216503.0,-53.95
216615.0,-54.56
216816.0,-55.46
217062.0,-55.65
217178.0,-55.27
217862.0,-55.87
218215.0,-56.25
218589.0,-56.24
219289.0,-56.81
219607.0,-56.66
219844.0,-56.57
220180.0,-56.08
220349.0,-57.21
220520.0,-57.09
221037.0,-57.22
221326.0,-57.9
221601.0,-57.83
221986.0,-57.61
222179.0,-58.04
222375.0,-57.74
222974.0,-57.85
223282.0,-58.63
223593.0,-57.75
224011.0,-58.57
224221.0,-59.55
224436.0,-59.34
225083.0,-59.13
225409.0,-59.29
225744.0,-59.44
226197.0,-58.68
226420.0,-59.06
226627.0,-58.8
227146.0,-58.05
227370.0,-58.96
227610.0,-57.31
227803.0,-57.77
227922.0,-57.33
228047.0,-58.0
228433.0,-58.47
228638.0,-59.03
228848.0,-58.57
229137.0,-60.2
229308.0,-60.12
229489.0,-58.81
230224.0,-59.08
230646.0,-58.99
