age,co2
97400,211.87802868747812
97300,206.0822451157912
97200,204.40099564051076
97100,204.22369612112297
97000,202.1435231921272
96900,198.5089407345585
96800,195.76830356040153
96700,192.80451795170467
96600,191.49629653254883
96500,196.7925436707629
96400,191.65156072387097
96300,188.4629461959228
96200,190.76422195329747
96100,188.93238035756676
96000,188.62616838110122
95900,187.03359647536348
95800,188.93685833895884
95700,188.23223629290942
95600,187.14691106159415
95500,188.96901046146004
95400,193.4266538257357
95300,192.56413140849838
95200,189.2652200508498
95100,192.58329622251884
95000,191.72707341140892
94900,191.22898199240788
94800,191.5809761714745
94700,191.53883656747846
94600,190.55036571786508
94500,189.83128972129188
94400,192.23523240723168
94300,193.58460870627445
94200,195.9493172499746
94100,194.21942951908233
94000,192.53224430733277
93900,190.86224454786247
93800,190.28244658703042
93700,190.03396091442366
93600,192.50022968593188
93500,191.39725397440864
93400,188.47231722923112
93300,191.49646947924558
93200,191.84833300231227
93100,190.25920458985198
93000,188.65511723369914
92900,189.79337554710156
92800,188.41284197238292
92700,186.8275561438937
92600,185.9010442801362
92500,185.55160728080878
92400,186.7508362518767
92300,187.95006522294466
92200,190.23990165499612
92100,188.9527179554492
92000,188.14454170385375
91900,190.3633468719811
91800,187.36939688574034
91700,186.53118308091237
91600,185.37442797103583
91500,185.06955570113888
91400,189.09429846241676
91300,188.14037503762987
91200,187.2812568623794
91100,189.31595178809633
91000,190.16368469925132
90900,189.0985354913022
90800,196.99808375703316
90700,191.07418601055215
90600,187.12725663979055
90500,187.9038199992561
90400,186.39515024065028
90300,184.61838050729864
90200,183.25282884207834
90100,184.01444224533975
90000,184.81328593160816
89900,185.8775845625686
89800,186.39393650362877
89700,184.74562775884544
89600,183.09731901406215
89500,181.44901026927883
89400,180.576954658126
89300,180.6016052530635
89200,180.626255848001
89100,180.6509064429385
89000,180.675557037876
88900,180.97061362836442
88800,182.01952935796442
88700,182.80561014478496
88600,183.1788576410187
88500,183.984232187099
88400,185.28878798041583
88300,186.50597876224782
88200,185.6264092684435
88100,184.74683977463914
88000,184.5347607966764
87900,184.5572055134689
87800,184.09969341707026
87700,184.9232014661863
87600,185.8212076296678
87500,185.4888661162135
87400,185.44290150905562
87300,185.99357441383083
87200,186.9794697264848
87100,187.80614151230148
87000,186.7984705472558
86900,194.0513506734254
86800,190.17720257340937
86700,191.34634749471655
86600,191.38498837581244
86500,191.9297814876317
86400,192.47940009193587
86300,188.1030098968078
86200,189.24379448960238
86100,189.37759565524465
86000,189.91812130774264
85900,191.43265090041217
85800,191.78920467228983
85700,191.03692510517152
85600,191.09412378096047
85500,193.02690077263998
85400,193.45667557189583
85300,193.85127378068304
85200,192.93870878918202
85100,192.9937542352209
85000,192.52466413282156
84900,189.26454250157943
84800,191.6413443440116
84700,189.4951628978959
84600,189.2249902950959
84500,189.23969512303557
84400,189.98874863299284
84300,191.12667079940917
84200,191.1535165224114
84100,191.53052654347303
84000,188.61932931590877
83900,188.30638916283525
83800,186.33354374932125
83700,184.50034323330283
83600,183.3480023623163
83500,184.33391338653135
83400,186.61795227918887
83300,190.23098755422097
83200,189.52304845296908
83100,188.81510935171718
83000,188.10717025046532
82900,188.16017099654331
82800,188.3495666209163
82700,188.7701597340331
82600,189.64764312252444
82500,190.872901001643
82400,192.27811502841539
82300,193.68332905518776
82200,192.666976760373
82100,193.00095884246653
82000,194.28972469757727
81900,195.79521984713315
81800,192.97076516904457
81700,194.80240400748372
81600,194.46955522552375
81500,194.43933926255963
81400,195.3686539047658
81300,198.5174543774457
81200,196.6751255691721
81100,196.38182377133842
81000,197.09359522219165
80900,197.5298619915047
80800,197.2513419546455
80700,196.9728219177863
80600,197.12092432103634
80500,198.18154366936616
80400,199.28179513598351
80300,198.33643447152969
80200,195.10732402881797
80100,195.4570462944
80000,195.7180991418925
79900,194.889961115313
79800,196.0918329832613
79700,197.06287232555476
79600,198.6114700064087
79500,199.532644255049
79400,197.7289226273315
79300,201.0514506377957
79200,202.6430901721055
79100,200.70909248031916
79000,198.80812042649669
78900,203.97127097984153
78800,205.23973414437438
78700,201.23965844709213
78600,200.95727518987334
78500,201.8245710931895
78400,201.02462417959273
78300,202.11205919791777
78200,201.59281578072506
78100,200.40610958575635
78000,204.028311127582
77900,201.45814211766088
77800,199.96132851744508
77700,199.49920924331423
77600,199.03708996918334
77500,204.97311622466557
77400,203.7623423916889
77300,203.03983599609333
77200,203.20038461225397
77100,205.22121294965928
77000,209.01548286336285
76900,207.6224529139946
76800,208.21349157691046
76700,209.89328686219864
76600,210.650280164093
76500,213.4851315145908
76400,212.12165441735524
76300,212.32211896102137
76200,214.1166921659534
76100,211.5061873679
76000,214.2431682026542
75900,206.68520592327496
75800,207.45667715484265
75700,209.60584609689175
75600,208.03796844064254
75500,207.06235107556867
75400,205.2178742364425
75300,206.20188023067712
75200,205.71474297578663
75100,202.677969646364
75000,205.93736418608506
74900,207.97527027632995
74800,209.21032806781517
74700,198.80266893383492
74600,199.46006331492353
74500,197.08173284814228
74400,196.4625312525737
74300,193.65640036180275
74200,195.06000484002266
74100,194.43268852958573
74000,192.92665928710684
73900,194.84528670513524
73800,197.4291230698116
73700,199.47551779041012
73600,201.33240139653296
73500,201.29910552357342
73400,200.79213904994984
73300,200.58276770038105
73200,200.9094010140258
73100,201.14562768903954
73000,201.3628249700895
72900,201.96410814616962
72800,203.91956841751434
72700,204.55821052335907
72600,204.9896780008173
72500,205.42114547827552
72400,203.0961084342804
72300,200.85582020553503
72200,199.983760991351
72100,200.10689942358542
72000,200.34911855394458
71900,200.59133768430374
71800,200.83355681466293
71700,201.8292175272393
71600,203.08709612205067
71500,204.34497471686205
71400,205.252082822901
71300,205.94145079002507
71200,205.64334634555172
71100,204.1423319958691
71000,203.60338700648052
70900,203.01033989382734
70800,202.17273565373722
70700,202.27373038831692
70600,203.82214197198272
70500,203.69061196901487
70400,202.8900128902962
70300,201.88140858924373
70200,202.4300643704226
70100,203.34424076109914
70000,204.25841715177572
69900,202.30213131930415
69800,204.47212251847387
69700,205.8276155700431
69600,204.8311620062375
69500,209.3232904640016
69400,211.88869127824296
69300,210.73772221110633
69200,210.8690806878702
69100,211.45123259587248
69000,209.2135251092654
68900,210.0218579826074
68800,213.94938204645857
68700,214.27346701377598
68600,214.88037860357664
68500,216.15746051971502
68400,217.43454243585342
68300,220.21294861292466
68200,222.64985137809902
68100,222.12534472807698
68000,221.10649333818407
67900,219.18518095798947
67800,218.47972653938325
67700,217.86809898470275
67600,217.27783668902183
67500,216.6875743933409
67400,215.32338136747765
67300,213.15296804143512
67200,210.83174357712826
67100,210.5465740347324
67000,210.22845081033637
66900,209.05861866391268
66800,207.88878651748897
66700,206.40103445869633
66600,204.80744356855547
66500,204.0933723838357
66400,203.8396324535383
66300,204.42643532458587
66200,205.2285210460221
66100,205.74611928834557
66000,205.93308231689022
65900,206.12004534543485
65800,204.48225134992373
65700,201.938288285588
65600,201.04209810917465
65500,201.1498455178386
65400,201.25759292650255
65300,201.36534033516654
65200,201.4730877438305
65100,201.5691499068968
65000,201.10614753669674
64900,200.6431451664967
64800,200.18014279629668
64700,202.26617154925296
64600,204.03881965043482
64500,203.96853850512667
64400,203.89825735981853
64300,203.983399845114
64200,204.16508211166231
64100,204.34676437821062
64000,205.30016681644716
63900,206.4061755552536
63800,206.8947537767264
63700,207.111773374179
63600,207.3287929716316
63500,207.4382354613932
63400,207.48336614302139
63300,207.52849682464958
63200,207.57362750627777
63100,207.61875818790597
63000,208.23137457362964
62900,209.20941111914328
62800,210.1874476646569
62700,211.16548421017055
62600,212.1606619920909
62500,213.1679730740221
62400,214.17528415595328
62300,215.03422238612322
62200,214.624409764508
62100,214.21459714289276
62000,213.87400778204957
61900,215.6409245842632
61800,217.4078413864768
61700,219.12788316584667
61600,219.99665617231412
61500,220.7541136166883
61400,220.94097310873985
61300,221.12783260079144
61200,221.89367036660826
61100,222.72919050204035
61000,223.56471063747244
60900,223.58985832115695
60800,223.43406685470805
60700,223.27827538825912
60600,222.7932734308165
60500,222.26984145999057
60400,221.74640948916462
60300,221.2229775183387
60200,220.9553914352427
60100,220.73745456934756
60000,220.5195177034524
59900,220.0241116239714
59800,218.97534900954426
59700,217.91868650430578
59600,216.59514507904862
59500,215.27160365379143
59400,213.94806222853427
59300,214.77293970677724
59200,215.70170482430592
59100,216.63046994183463
59000,214.512613028879
58900,211.4067771434128
58800,208.3009412579466
58700,210.64099554657057
58600,213.17618123289486
58500,214.31094026930862
58400,213.0478437481189
58300,211.78474722692917
58200,210.52165070573946
58100,209.63607981380528
58000,208.84217721532679
57900,208.0482746168483
57800,208.61912130099606
57700,210.40651961952358
57600,212.19391793805113
57500,212.83494226804703
57400,213.29578752899778
57300,213.75663278994855
57200,214.2174780508993
57100,214.67832331185008
57000,215.13916857280083
