age,lr04
51100,4.5307
51000,4.5147
50900,4.4977
50800,4.480700000000001
50700,4.4637
50600,4.4467
50500,4.4297
50400,4.4127
50300,4.395700000000001
50200,4.3787
50100,4.3617
50000,4.3708
49900,4.3828000000000005
49800,4.3948
49700,4.4068000000000005
49600,4.4188
49500,4.4308000000000005
49400,4.4428
49300,4.4548000000000005
49200,4.4668
49100,4.478800000000001
49000,4.4881
48900,4.4971000000000005
48800,4.5061
48700,4.5151
48600,4.524100000000001
48500,4.5331
48400,4.5421000000000005
48300,4.5511
48200,4.5601
48100,4.569100000000001
48000,4.5583
47900,4.5453
47800,4.5323
47700,4.5193
47600,4.5063
47500,4.4933000000000005
47400,4.480300000000001
47300,4.467300000000001
47200,4.454300000000001
47100,4.4413
47000,4.4382
46900,4.4362
46800,4.434200000000001
46700,4.4322
46600,4.4302
46500,4.4282
46400,4.4262
46300,4.4242
46200,4.4222
46100,4.4202
46000,4.4245
45900,4.4295
45800,4.4345
45700,4.4395
45600,4.4445
45500,4.4495
45400,4.4544999999999995
45300,4.459499999999999
45200,4.4645
45100,4.4695
45000,4.4565
44900,4.4415
44800,4.4265
44700,4.4115
44600,4.3965
44500,4.3815
44400,4.3665
44300,4.351500000000001
44200,4.3365
44100,4.3215
44000,4.311
43900,4.301
43800,4.291
43700,4.281
43600,4.271
43500,4.261
43400,4.251
43300,4.241
43200,4.231
43100,4.221
43000,4.2191
42900,4.2181
42800,4.217099999999999
42700,4.2161
42600,4.2151
42500,4.2141
42400,4.2131
42300,4.2120999999999995
42200,4.2111
42100,4.2101
42000,4.2118
41900,4.2138
41800,4.2158
41700,4.2178
41600,4.2198
41500,4.2218
41400,4.223800000000001
41300,4.2258000000000004
41200,4.2278
41100,4.2298
41000,4.212000000000001
40900,4.192
40800,4.172000000000001
40700,4.152
40600,4.132000000000001
40500,4.112
40400,4.0920000000000005
40300,4.072
40200,4.0520000000000005
40100,4.032
40000,4.0228
39900,4.0148
39800,4.0068
39700,3.9988
39600,3.9908
39500,3.9828
39400,3.9748
39300,3.9668
39200,3.9588
39100,3.9508
39000,3.9599
38900,3.9709
38800,3.9819
38700,3.9929
38600,4.0039
38500,4.0149
38400,4.0259
38300,4.0369
38200,4.047899999999999
38100,4.0588999999999995
38000,4.0618
37900,4.0638
37800,4.065799999999999
37700,4.0678
37600,4.0698
37500,4.0718
37400,4.0738
37300,4.0758
37200,4.0778
37100,4.0798
37000,4.0773
36900,4.0743
36800,4.0713
36700,4.0683
36600,4.0653
36500,4.0623
36400,4.0592999999999995
36300,4.0563
36200,4.0533
36100,4.0503
36000,4.05
35900,4.05
35800,4.05
35700,4.05
35600,4.05
35500,4.05
35400,4.05
35300,4.05
35200,4.05
35100,4.05
35000,4.0365
34900,4.0215
34800,4.0065
34700,3.9915
34600,3.9764999999999997
34500,3.9615
34400,3.9465
34300,3.9314999999999998
34200,3.9165
34100,3.9015
34000,3.8928
33900,3.8848
33800,3.8768
33700,3.8688
33600,3.8608
33500,3.8528
33400,3.8447999999999998
33300,3.8367999999999998
33200,3.8287999999999998
33100,3.8207999999999998
33000,3.8182
32900,3.8162
32800,3.8142
32700,3.8122
32600,3.8102
32500,3.8082
32400,3.8062
32300,3.8042
32200,3.8022
32100,3.8002
32000,3.8026999999999997
31900,3.8057
31800,3.8087
31700,3.8117
31600,3.8146999999999998
31500,3.8177
31400,3.8207
31300,3.8237
31200,3.8267
31100,3.8297
31000,3.8291
30900,3.8281
30800,3.8271
30700,3.8261
30600,3.8251
30500,3.8241
30400,3.8230999999999997
30300,3.8221
30200,3.8211
30100,3.8201
30000,3.8316999999999997
29900,3.8447
29800,3.8577
29700,3.8707
29600,3.8837
29500,3.8967
29400,3.9097
29300,3.9227000000000003
29200,3.9357
29100,3.9487
29000,3.9599
28900,3.9709
28800,3.9819
28700,3.9929
28600,4.0039
28500,4.0149
28400,4.0259
28300,4.0369
28200,4.047899999999999
28100,4.0588999999999995
28000,4.070799999999999
27900,4.0828
27800,4.094799999999999
27700,4.1068
27600,4.118799999999999
27500,4.1308
27400,4.142799999999999
27300,4.1548
27200,4.166799999999999
27100,4.1788
27000,4.1737
26900,4.1667
26800,4.1597
26700,4.1527
26600,4.1457
26500,4.1387
26400,4.1317
26300,4.1247
26200,4.1177
26100,4.1107000000000005
26000,4.1073
25900,4.1043
25800,4.1013
25700,4.0983
25600,4.0953
25500,4.0923
25400,4.0893
25300,4.0863000000000005
25200,4.0833
25100,4.0803
25000,4.0782
24900,4.0762
24800,4.0742
24700,4.0722
24600,4.0702
24500,4.0682
24400,4.066199999999999
24300,4.0642
24200,4.0622
24100,4.0602
24000,4.0573
23900,4.0543
23800,4.0512999999999995
23700,4.0483
23600,4.0453
23500,4.0423
23400,4.0393
23300,4.0363
23200,4.0333000000000006
23100,4.0303
23000,4.0255
22900,4.0205
22800,4.0155
22700,4.0105
22600,4.0055000000000005
22500,4.0005
22400,3.9955000000000003
22300,3.9905
22200,3.9855
22100,3.9805
22000,3.9728
21900,3.9648
21800,3.9568
21700,3.9488
21600,3.9408
21500,3.9328
21400,3.9248
21300,3.9168
21200,3.9088
21100,3.9008
21000,3.8946
20900,3.8886
20800,3.8826
20700,3.8766
20600,3.8706
20500,3.8646
20400,3.8586
20300,3.8526
20200,3.8466
20100,3.8406
20000,3.8337
19900,3.8266999999999998
19800,3.8197
19700,3.8127
19600,3.8057
19500,3.7986999999999997
19400,3.7917
19300,3.7847
19200,3.7777
19100,3.7707
19000,3.7682
18900,3.7662
18800,3.7642
18700,3.7622
18600,3.7602
18500,3.7582
18400,3.7562
18300,3.7542
18200,3.7522
18100,3.7502
18000,3.7572
17900,3.7652
17800,3.7732
17700,3.7812
17600,3.7892
17500,3.7972
17400,3.8052
17300,3.8132
17200,3.8212
17100,3.8292
17000,3.8363
16900,3.8433
16800,3.8503
16700,3.8573
16600,3.8643
16500,3.8713
16400,3.8783
16300,3.8853
16200,3.8923
16100,3.8992999999999998
16000,3.8891999999999998
15900,3.8771999999999998
15800,3.8651999999999997
15700,3.8531999999999997
15600,3.8411999999999997
15500,3.8291999999999997
15400,3.8171999999999997
15300,3.8051999999999997
15200,3.7931999999999997
15100,3.7811999999999997
15000,3.7826999999999997
14900,3.7857
14800,3.7887
14700,3.7917
14600,3.7946999999999997
14500,3.7977
14400,3.8007
14300,3.8037
14200,3.8067
14100,3.8097
14000,3.8199
13900,3.8309
13800,3.8419
13700,3.8529
13600,3.8639
13500,3.8749
13400,3.8859
13300,3.8969
13200,3.9079
13100,3.9189
13000,3.9146
12900,3.9086
12800,3.9026
12700,3.8966
12600,3.8906
12500,3.8846
12400,3.8786
12300,3.8726
12200,3.8666
12100,3.8606
12000,3.8617999999999997
11900,3.8638
11800,3.8657999999999997
11700,3.8678
11600,3.8697999999999997
11500,3.8718
11400,3.8737999999999997
11300,3.8758
11200,3.8777999999999997
11100,3.8798
11000,3.8836
10900,3.8876
10800,3.8916
10700,3.8956
10600,3.8996
10500,3.9036
10400,3.9076
10300,3.9116
10200,3.9156
10100,3.9196
10000,3.9137
9900,3.9067
9800,3.8997
9700,3.8927
9600,3.8857
9500,3.8787
9400,3.8717
9300,3.8647
9200,3.8577
9100,3.8507000000000002
9000,3.8635
8900,3.8785000000000003
8800,3.8935
8700,3.9085
8600,3.9235
8500,3.9385
8400,3.9535
8300,3.9685
8200,3.9835
8100,3.9985
8000,4.0036
7900,4.0076
7800,4.0116
7700,4.0156
7600,4.0196
7500,4.0236
7400,4.0276
7300,4.0316
7200,4.0356
7100,4.0396
7000,4.0463000000000005
6900,4.0533
6800,4.0603
6700,4.0673
6600,4.0743
6500,4.081300000000001
6400,4.0883
6300,4.0953
6200,4.1023000000000005
6100,4.1093
6000,4.1109
5900,4.1119
5800,4.112900000000001
5700,4.1139
5600,4.1149000000000004
5500,4.1159
5400,4.1169
5300,4.117900000000001
5200,4.1189
5100,4.1199
5000,4.1128
4900,4.1048
4800,4.0968
4700,4.0888
4600,4.0808
4500,4.0728
4400,4.0648
4300,4.0568
4200,4.0488
4100,4.0408
4000,4.0382
3900,4.0362
3800,4.0342
3700,4.0322
3600,4.0302
3500,4.0282
3400,4.026199999999999
3300,4.0241999999999996
3200,4.0222
3100,4.0202
3000,4.020899999999999
2900,4.0219
2800,4.0229
2700,4.0239
2600,4.0249
2500,4.0259
2400,4.0269
2300,4.0279
2200,4.0289
2100,4.0299000000000005
2000,4.021
1900,4.011
1800,4.001
1700,3.991
1600,3.9810000000000003
1500,3.971
1400,3.9610000000000003
1300,3.951
1200,3.9410000000000003
1100,3.931
1000,3.9192
900,3.9072
800,3.8952
700,3.8832
600,3.8712
500,3.8592
400,3.8472
300,3.8352
200,3.8232
100,3.8112
0,3.801
