age,lr04
97400,4.8397
97300,4.8527
97200,4.8656999999999995
97100,4.8787
97000,4.8926
96900,4.9066
96800,4.920599999999999
96700,4.9346
96600,4.9486
96500,4.9626
96400,4.9765999999999995
96300,4.9906
96200,5.0046
96100,5.018599999999999
96000,5.0146
95900,5.0085999999999995
95800,5.002599999999999
95700,4.9966
95600,4.9906
95500,4.9845999999999995
95400,4.9786
95300,4.9726
95200,4.9666
95100,4.9606
95000,4.9627
94900,4.9657
94800,4.9687
94700,4.9717
94600,4.9747
94500,4.9777000000000005
94400,4.980700000000001
94300,4.9837
94200,4.9867
94100,4.9897
94000,4.9828
93900,4.9748
93800,4.9668
93700,4.9588
93600,4.9508
93500,4.9428
93400,4.9348
93300,4.9268
93200,4.9188
93100,4.9108
93000,4.9073
92900,4.9043
92800,4.9013
92700,4.8983
92600,4.8953
92500,4.8923
92400,4.8892999999999995
92300,4.8863
92200,4.8833
92100,4.8803
92000,4.8782
91900,4.8762
91800,4.8742
91700,4.8722
91600,4.8702000000000005
91500,4.8682
91400,4.8662
91300,4.8642
91200,4.8622000000000005
91100,4.860200000000001
91000,4.8555
90900,4.8505
90800,4.8455
90700,4.8405000000000005
90600,4.8355
90500,4.8305
90400,4.8255
90300,4.8205
90200,4.8155
90100,4.810499999999999
90000,4.810899999999999
89900,4.8119
89800,4.8129
89700,4.8139
89600,4.8149
89500,4.8159
89400,4.8169
89300,4.8179
89200,4.8189
89100,4.8199000000000005
89000,4.806500000000001
88900,4.7915
88800,4.7765
88700,4.7615
88600,4.7465
88500,4.7315000000000005
88400,4.7165
88300,4.7015
88200,4.6865
88100,4.6715
88000,4.6772
87900,4.6852
87800,4.6932
87700,4.7012
87600,4.7092
87500,4.7172
87400,4.7252
87300,4.7332
87200,4.7412
87100,4.7492
87000,4.75
86900,4.75
86800,4.75
86700,4.75
86600,4.75
86500,4.75
86400,4.75
86300,4.75
86200,4.75
86100,4.75
86000,4.7482
85900,4.7462
85800,4.7442
85700,4.7422
85600,4.740200000000001
85500,4.7382
85400,4.7362
85300,4.7342
85200,4.732200000000001
85100,4.730200000000001
85000,4.7201
84900,4.7091
84800,4.6981
84700,4.6871
84600,4.6761
84500,4.665100000000001
84400,4.654100000000001
84300,4.6431000000000004
84200,4.6321
84100,4.6211
84000,4.62
83900,4.62
83800,4.62
83700,4.62
83600,4.62
83500,4.62
83400,4.62
83300,4.62
83200,4.62
83100,4.62
83000,4.6182
82900,4.6162
82800,4.6142
82700,4.6122
82600,4.6102
82500,4.6082
82400,4.606199999999999
82300,4.6042
82200,4.6022
82100,4.6002
82000,4.598199999999999
81900,4.5962
81800,4.5942
81700,4.5922
81600,4.5902
81500,4.5882
81400,4.5862
81300,4.5842
81200,4.5822
81100,4.5802000000000005
81000,4.5809
80900,4.5819
80800,4.5829
80700,4.5839
80600,4.5849
80500,4.5859
80400,4.5869
80300,4.5879
80200,4.5889
80100,4.5899
80000,4.5855
79900,4.5805
79800,4.5755
79700,4.5705
79600,4.5655
79500,4.5605
79400,4.5555
79300,4.5505
79200,4.5455
79100,4.5405
79000,4.5319
78900,4.5229
78800,4.5139000000000005
78700,4.5049
78600,4.4959
78500,4.4869
78400,4.4779
78300,4.4689000000000005
78200,4.4599
78100,4.4509
78000,4.4509
77900,4.4519
77800,4.4529000000000005
77700,4.4539
77600,4.4549
77500,4.4559
77400,4.4569
77300,4.4579
77200,4.4589
77100,4.4599
77000,4.4555
76900,4.4505
76800,4.4455
76700,4.4405
76600,4.4355
76500,4.4305
76400,4.4255
76300,4.4205000000000005
76200,4.4155
76100,4.4105
76000,4.4226
75900,4.4366
75800,4.4506
75700,4.4646
75600,4.4786
75500,4.4926
75400,4.5066
75300,4.5206
75200,4.5346
75100,4.5485999999999995
75000,4.55
74900,4.55
74800,4.55
74700,4.55
74600,4.55
74500,4.55
74400,4.55
74300,4.55
74200,4.55
74100,4.55
74000,4.5464
73900,4.5424
73800,4.5384
73700,4.5344
73600,4.5304
73500,4.5264
73400,4.5224
73300,4.5184
73200,4.5144
73100,4.5104
73000,4.5091
72900,4.5081
72800,4.507099999999999
72700,4.5061
72600,4.5051
72500,4.5041
72400,4.5031
72300,4.5020999999999995
72200,4.5011
72100,4.5001
72000,4.4964
71900,4.4924
71800,4.4884
71700,4.4844
71600,4.4804
71500,4.4764
71400,4.4724
71300,4.4684
71200,4.4644
71100,4.4604
71000,4.4618
70900,4.4638
70800,4.4658
70700,4.4678
70600,4.4698
70500,4.4718
70400,4.473800000000001
70300,4.4758000000000004
70200,4.4778
70100,4.4798
70000,4.466500000000001
69900,4.4515
69800,4.4365000000000006
69700,4.4215
69600,4.4065
69500,4.391500000000001
69400,4.3765
69300,4.3615
69200,4.3465
69100,4.3315
69000,4.3327
68900,4.3357
68800,4.3387
68700,4.3417
68600,4.3447000000000005
68500,4.347700000000001
68400,4.350700000000001
68300,4.3537
68200,4.3567
68100,4.3597
68000,4.361800000000001
67900,4.3638
67800,4.3658
67700,4.3678
67600,4.3698
67500,4.3718
67400,4.3738
67300,4.3758
67200,4.3778
67100,4.3797999999999995
67000,4.3863
66900,4.3933
66800,4.4003
66700,4.4073
66600,4.4143
66500,4.4213000000000005
66400,4.4283
66300,4.4353
66200,4.4423
66100,4.4493
66000,4.4509
65900,4.4519
65800,4.4529000000000005
65700,4.4539
65600,4.4549
65500,4.4559
65400,4.4569
65300,4.4579
65200,4.4589
65100,4.4599
65000,4.4492
64900,4.4372
64800,4.4252
64700,4.4132
64600,4.4012
64500,4.3892
64400,4.3772
64300,4.3652
64200,4.3532
64100,4.3412
64000,4.3391
63900,4.3381
63800,4.3370999999999995
63700,4.3361
63600,4.3351
63500,4.3341
63400,4.3331
63300,4.3321
63200,4.3311
63100,4.3301
63000,4.3282
62900,4.3262
62800,4.3242
62700,4.3222
62600,4.3202
62500,4.3182
62400,4.316199999999999
62300,4.3142
62200,4.3122
62100,4.3102
62000,4.3217
61900,4.3347
61800,4.3477
61700,4.3607
61600,4.3737
61500,4.3867
61400,4.3997
61300,4.4127
61200,4.4257
61100,4.438700000000001
61000,4.4346000000000005
60900,4.4286
60800,4.4226
60700,4.4166
60600,4.4106000000000005
60500,4.4046
60400,4.3986
60300,4.3926
60200,4.3866
60100,4.3806
60000,4.3736999999999995
59900,4.3667
59800,4.3597
59700,4.3527
59600,4.3457
59500,4.338699999999999
59400,4.3317
59300,4.3247
59200,4.317699999999999
59100,4.3107
59000,4.313599999999999
58900,4.3176
58800,4.321599999999999
58700,4.3256
58600,4.329599999999999
58500,4.3336
58400,4.337599999999999
58300,4.3416
58200,4.345599999999999
58100,4.3496
58000,4.3572
57900,4.3652
57800,4.3732
57700,4.3812
57600,4.3892
57500,4.3972
57400,4.4052
57300,4.4132
57200,4.4212
57100,4.4292
57000,4.4354
56900,4.4414
56800,4.4474
56700,4.4534
56600,4.4594
56500,4.4654
56400,4.4714
56300,4.4774
56200,4.4834000000000005
56100,4.4894
56000,4.4846
55900,4.4786
55800,4.4726
55700,4.4666
55600,4.4606
55500,4.4546
55400,4.4486
55300,4.4426
55200,4.436599999999999
55100,4.4306
55000,4.4453
54900,4.4623
54800,4.479299999999999
54700,4.4963
54600,4.5133
54500,4.5302999999999995
54400,4.5473
54300,4.564299999999999
54200,4.5813
54100,4.5983
54000,4.5919
53900,4.5828999999999995
53800,4.5739
53700,4.5649
53600,4.555899999999999
53500,4.5469
53400,4.5379
53300,4.5289
53200,4.5199
53100,4.5108999999999995
53000,4.5181
52900,4.5271
52800,4.536099999999999
52700,4.5451
52600,4.5541
52500,4.5630999999999995
52400,4.5721
52300,4.581099999999999
52200,4.5901
52100,4.5991
52000,4.5937
51900,4.5866999999999996
51800,4.5797
51700,4.5727
51600,4.5657
51500,4.5587
51400,4.5517
51300,4.5447
51200,4.5377
