age,temperature
5000.0,-35.79256289327367
5050.0,-35.75906130465598
5100.0,-35.62754191501031
5150.0,-35.6321829435179
5200.0,-35.6352773139137
5250.0,-35.68587449327796
5300.0,-35.72980548771967
5350.0,-35.80179859832274
5400.0,-35.88994378707665
5450.0,-35.58208760890368
5500.0,-35.49262226364328
5550.0,-35.21345975676949
5600.0,-35.31650529124248
5650.0,-35.3652902992467
5700.0,-35.3785611505212
5750.0,-35.46855809875971
5800.0,-35.61997240523328
5850.0,-35.75736992340328
5900.0,-35.91077025514032
5950.0,-35.94659837484608
6000.0,-35.914565262300144
6050.0,-35.87401394441749
6100.0,-35.928799921509
6150.0,-36.13790409727501
6200.0,-36.14159847200511
6250.0,-36.29338227761834
6300.0,-36.194007641827916
6350.0,-36.15899852366454
6400.0,-36.05124168060074
6450.0,-36.01536634868875
6500.0,-36.22227091995256
6550.0,-36.235629478041744
6600.0,-36.12749463276629
6650.0,-35.87455858549353
6700.0,-35.8946590454105
6750.0,-36.08862386032209
6800.0,-35.98400593355243
6850.0,-35.84152013513743
6900.0,-35.950820032378765
6950.0,-36.02650773693958
7000.0,-35.983109260348776
7050.0,-35.95130726850239
7100.0,-35.82966355880684
7150.0,-35.84801075640459
7200.0,-35.373193415134466
7250.0,-35.13952091227926
7300.0,-35.07902058780629
7350.0,-35.44964516136484
7400.0,-35.43557788750739
7450.0,-35.22130855324721
7500.0,-35.34906830724716
7550.0,-35.55651031972482
7600.0,-35.69215993219274
7650.0,-35.69267319458873
7700.0,-35.910661265174376
7750.0,-35.985015636366555
7800.0,-36.24599359537933
7850.0,-36.22494831428152
7900.0,-36.384135795393426
7950.0,-36.55000223680257
8000.0,-36.525966407047164
8050.000000000001,-36.28114191678989
8100.0,-36.13373887160671
8150.0,-36.20701369187608
8200.0,-35.83971870633679
8250.0,-35.59533107128404
8300.0,-35.32146008585721
8350.0,-35.20529406822107
8400.0,-34.863333262573704
8450.0,-34.77035995915499
8500.0,-34.688195134190515
8550.0,-34.461978881887056
8600.0,-34.5743012470697
8650.0,-34.48229730761382
8700.0,-34.421922815786324
8750.0,-34.27866125786262
8800.0,-34.326313492896645
8850.0,-34.19247536106806
8900.0,-34.35285763240927
8950.0,-34.383954277276615
9000.0,-34.42340448015648
9050.0,-34.33711156906743
9100.0,-34.367972475906136
9150.0,-34.28322257306599
9200.0,-34.17625890241759
9250.0,-34.44974745261167
9300.0,-34.29645368746632
9350.0,-34.301290613365715
9400.0,-34.39210714143015
9450.0,-34.53959058313337
9500.0,-34.55990772936523
9550.0,-34.646002155673614
