age,d18O,filt_interp,residual,pre,obl
1130.0,3.26,3.3072019217576085,-0.047201921757608734,0.0171018,0.4116439
1270.0,3.125,3.301244333590736,-0.176244333590736,0.017057,0.41195539999999997
1550.0,3.32,3.289921212057481,0.030078787942518836,0.016869,0.412575
1690.0,3.215,3.284588703560929,-0.06958870356092905,0.0167286,0.4128821
1830.0,3.16,3.279495327542955,-0.11949532754295467,0.0165559,0.4131871
1970.0,3.22,3.2746541121168717,-0.054654112116871545,0.0163536,0.41349020000000003
2110.0,3.18,3.270076584350695,-0.09007658435069477,0.0161239,0.4137904
2250.0,3.28,3.265772732091732,0.014227267908268004,0.0158635,0.414089
2390.0,3.18,3.2617509786780867,-0.08175097867808656,0.015577,0.4143849
2520.0,3.21,3.258275095143905,-0.048275095143905045,0.0152856,0.4146566
2650.0,3.32,3.255052628199544,0.06494737180045584,0.014971,0.414926
2780.0,3.17,3.252086666963548,-0.08208666696354827,0.0146356,0.415193
2910.0,3.43,3.249379138722961,0.18062086127703925,0.0142781,0.41545719999999997
3040.0,3.2918,3.2469308223239763,0.0448691776760235,0.013897999999999999,0.415719
3170.0,3.49,3.2447413646616456,0.24525863533835457,0.013499599999999999,0.4159776
3300.0,3.36,3.242809299369094,0.11719070063090609,0.013081,0.416234
3430.0,3.23,3.24113206695728,-0.011132066957280085,0.012639000000000001,0.4164866
3560.0,3.29,3.2397060359145646,0.050293964085435405,0.0121762,0.41673560000000004
3690.0,3.275,3.238526524544216,0.036473475455784055,0.011693499999999999,0.4169821
3820.0,3.37,3.237587823565842,0.13241217643415792,0.011186999999999999,0.4172248
3950.0,3.25,3.23688321958542,0.013116780414580198,0.01066,0.4174635
4070.000000000001,3.21,3.236433957277784,-0.02643395727778408,0.010152699999999995,0.417681
4200.0,3.25,3.2361570924554925,0.013842907544507455,0.009583,0.417913
4330.0,3.125,3.236089181209014,-0.11108918120901379,0.0089924,0.4181402
