age,ch4,filt_interp,residual,pre,obl
1002.741,652.0001117,640.2901394897,11.709972210300066,0.01711580813,0.41135913984
1006.191,648.8703045,640.2200791134853,8.650225386514649,0.01711556663,0.41136686784000004
1006.794,650.0846478,640.2078337781643,9.876814021835685,0.01711552442,0.41136821856
1014.816,659.3873233,640.0448556860363,19.342467613963777,0.01711496288,0.41138618784000003
1023.419,657.8189637,639.8699719364919,17.94899176350816,0.01711436067,0.41140545856000005
1031.95,656.9812639,639.6964487363475,17.284815163652524,0.0171137635,0.41142456800000005
1040.481,653.1372531,639.5228251302025,13.614427969797475,0.01711316633,0.41144367744000004
1049.106,652.4318204,639.3471757846335,13.084644615366528,0.01711256258,0.41146299744000003
1057.759,654.6403486,639.1708519774613,15.469496622538713,0.01711195687,0.41148238016000005
1066.403,660.0667048,638.9946161546715,21.072088645328563,0.01711135179,0.41150174272
1075.028,657.3899272,638.8186751326637,18.57125206733633,0.01711074804,0.41152106272000005
1083.653,659.1309066,638.6426441231841,20.488262476815862,0.01711014429,0.41154038272000004
1091.922,649.2397165,638.4737979855588,10.765918514441182,0.01710956546,0.41155890528000005
1100.162,647.7144478,638.3054675414658,9.408980258534257,0.01710896112,0.41157736126000005
1108.53,646.469165,638.1344288536259,8.334736146374098,0.0171069528,0.4115960219
1116.645,650.0064252,637.9684884771052,12.037936722894756,0.0171050052,0.41161411835
1125.607,648.0682923,637.7851511273063,10.283141172693718,0.01710285432,0.41163410361
1133.893,640.6108092,637.6155706059307,2.995238594069292,0.01710086568,0.41165258139
1142.179,629.8316977,637.4459243385389,-7.61422663853898,0.01709887704,0.41167105917
1150.54,627.3842865,637.2746775765364,-9.890391076536389,0.0170968704,0.4116897042
1158.956,629.9424273,637.1022310535806,-7.159803753580604,0.01709485056,0.41170847188000004
1167.374,627.6269469,636.9296780070003,-9.30273110700034,0.01709283024,0.41172724402
1176.516,627.4162144,636.7422190758666,-9.32600467586667,0.01709063616,0.41174763068000003
1184.226,638.7943686,636.5840708916941,2.210297708305916,0.01708878576,0.41176482398
1192.9,650.9830741,636.4060954037485,14.576978696251444,0.017086704,0.411784167
1201.191,652.5167549,636.2359277560705,16.280827143929514,0.0170845236,0.41180264402
1209.975,656.6453367,636.05558741881,20.589749281190052,0.01708101,0.4118221445
